"","",Video,#,Highlights
25,-7,Tems: Tiny Desk Concert,3,"#46 United States, #49 United Kingdom, #43 Canada"
26,+10,Itni mehnet kis ke liye ?🥹 | The most viral comedy video by mummypapa 🔥 #ytshorts #shorts,2,"#12 Pakistan, #2 Nepal"
27,+3,Cool kid. #ello,3,"#39 Thailand, #47 Taiwan, #14 Hong Kong"
28,-2,PONTE PERRO | DJ TAO Turreo Sessions #24,2,"#30 Argentina, #32 Uruguay"
29,-1,7LIWA - Douwi Douwi (Official Lyrics Video),2,"#10 Morocco, #44 Algeria"
30,-3,"MIX LO NUEVO 2024 - Previa y Cachengue - Fer Palacio | Dj Set - Q Lokura, Valentino Merlo",2,"#32 Argentina, #29 Uruguay"
31,-2,"CA7RIEL & Paco Amoroso, TINI - AGUA (Letra/Lyrics)",3,"#35 Argentina, #37 Uruguay, #42 Paraguay"
32,-1,Oscar Maydon x Junior H - Volver Al Futuro [Lyric Video],2,"#43 Mexico, #35 Guatemala"
33,-14,Oliver Anthony Music - Cowboys and Sunsets,2,"#39 United States, #49 Canada"
34,+1,Papa beti aur school🥰❤️ #familylovestory #unknownboyvarun #shorts,2,"#9 Pakistan, #32 Nepal"
35,+2,Grupo Firme - El Beneficio De La Duda (Video Oficial),6,"#25 Bolivia, #41 Guatemala, #33 Honduras"
36,+4,Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA),6,"#1 Serbia, #1 Bosnia and Herzegovina, #1 Croatia"
37,-14,Lamentablemente,3,"#31 Chile, #27 Guatemala, #21 Costa Rica"
38,-24,"Rei, Milo j - Semillero (Video Oficial)",4,"#38 Peru, #40 Bolivia, #39 Uruguay"
39,-1,Didine Canon 16 ft. EL GARRA - Walou 🇨🇦🇩🇿(Prod. EL GARRA),2,"#31 Algeria, #34 Tunisia"
40,+1,BRESKVICA - NA NJENIM RUKAMA (Generacija Zed 2024),5,"#2 Serbia, #4 Bosnia and Herzegovina, #6 Croatia"
41,-2,SE OLVIDÓ DE TODA LA COREO PERO AL FINAL SUPO RESOLVERLO 😱😱,2,"#20 Spain, #7 El Salvador"
42,-9,"Briella, La Joaqui, Yami Safdie - Coquette Remix (Video Oficial)",8,"#42 Bolivia, #33 Uruguay, #50 Honduras"
43,=,RELJA X NUCCI - OMB (OFFICIAL VIDEO),5,"#8 Serbia, #14 Bosnia and Herzegovina, #20 Croatia"
44,NEW,#JasonDeruloTV // Sky Wheel #GotPermissionToPost From @ReneMiksche2D #FromTheIslands,8,"#29 Israel, #23 Netherlands, #36 Czech Republic"
45,-3,aespa 에스파 'Armageddon' MV,4,"#44 Malaysia, #20 Hong Kong, #34 Puerto Rico"
46,-1,RELJA - ZA TOBOM LUD (OFFICIAL VIDEO),5,"#9 Serbia, #16 Bosnia and Herzegovina, #21 Croatia"
47,-25,"I'm In The SIDEMEN'S $1,000,000 Reality Show! - InSide Episode 1 Reaction",2,"#18 United Kingdom, #20 Australia"
48,-1,Champions Leak - Summer Cem‘s Scorpion Bars (Vol.5),2,"#26 Germany, #28 Austria"
49,+1,Mbosso - Kunguru (Official Video),2,"#8 Kenya, #4 Tanzania"
50,+9,Zuchu feat Toss - SIji (Official Music Video),2,"#12 Kenya, #2 Tanzania"
51,=,Stou - Game is Game (Official Music Video),2,"#22 Tunisia, #48 Libya"
52,+1,Billnass feat Jux - Maboss (Visualiser),2,"#14 Kenya, #7 Tanzania"
53,+4,MELISSES | Μοναχική Καρδιά (Official Music Video),2,"#1 Greece, #5 Cyprus"
54,+1,Nordo - Hkayet (Official Music Video) | حكايات,2,"#32 Tunisia, #43 Libya"
55,-7,El Beneficio De La Duda,2,"#15 Honduras, #7 Nicaragua"
56,=,HILJSON MANDELA X BIBA - ANKARAN (OFFICIAL VIDEO),3,"#35 Serbia, #28 Croatia, #40 Slovenia"
57,+5,Zvezde Granda - Cela Emisija 37 - ZG 2023/24 - 01.06.2024.,2,"#7 Bosnia and Herzegovina, #17 North Macedonia"
58,+2,Grupo Frontera ft. Maluma - POR QUÉ SERÁ (Video Oficial),2,"#30 Uruguay, #33 Nicaragua"
59,+2,"Tyla, Gunna, Skillibeng - Jump (Official Music Video)",3,"#48 South Africa, #47 Uganda, #31 Zimbabwe"
60,+3,Marina Satti - LALALALA (Official Music Video),2,"#20 Greece, #24 Cyprus"
61,-29,"Rei, Obie Wanshot, Neo Pistea - Mucho de todo (Video Oficial)",2,"#38 Uruguay, #44 Paraguay"
62,+4,Dafina Zeqiri x Yll Limani - Jom ka du me t’pa,2,"#4 Switzerland, #3 North Macedonia"
63,-17,RM 'Nuts' Live Video,3,"#40 Nicaragua, #50 Costa Rica, #41 Panama"
64,+4,DJ PM & DJ DAGZ ft. LEDRI VULA x LUMI B x LABINOT TAHIRI - Kujt i paske ngja,2,"#15 Switzerland, #11 North Macedonia"
65,+2,RM 'Groin' Official MV,3,"#48 Nicaragua, #49 Panama, #35 Puerto Rico"
66,-14,Tea Tairovic - Pozovi (Official Video || Album TEA),2,"#32 Bosnia and Herzegovina, #39 Slovenia"
67,+2,Predstavenie novej kamošky w/ Jan Bendig,2,"#16 Czech Republic, #41 Slovakia"
68,+2,Sedlák v reštaurácii,2,"#9 Slovakia, #43 Czech Republic"
69,-5,Paulo Londra - Posdata: (Official Teaser),2,"#29 Panama, #44 Nicaragua"
70,-5,Bro😂😂😂😂🤣,4,"#29 New Zealand, #40 Singapore, #43 Ireland"
71,+3,I could do this dance all night 💧brought to you by shorts,2,"#40 Tanzania, #10 Uganda"
72,+1,TIKTOK - Ian Lucas x Fede Vigevani x Gusty DJ,2,"#50 Nicaragua, #48 Puerto Rico"
73,-19,HOODBLAQ x LUCIANO - BLAQ ON BLAQ,2,"#48 Switzerland, #47 Austria"
74,+1,"TitoM, Yuppe and Burna Boy - Tshwala Bam Remix [Ft. S.N.E] (Official Video)",3,"#25 Uganda, #26 Zimbabwe, #49 Ghana"
