"","",Video,#,Highlights
35,-25,BABYMONSTER - 'LIKE THAT' EXCLUSIVE PERFORMANCE VIDEO,25,"#21 Malaysia, #49 Philippines, #45 Colombia"
36,+35,They RUINED Everything! 😢,17,"#7 Philippines, #20 Thailand, #15 Romania"
37,-18,Welcome to the Wild West! YEEHAW!,21,"#36 Argentina, #35 Colombia, #34 Chile"
38,+3,"He tried to save his parking spot, instant karma",35,"#13 Ukraine, #34 Poland, #28 Kazakhstan"
39,-1,🍟Best French Fries Homemade #cooking #shorts,23,"#39 Vietnam, #25 Romania, #28 Malaysia"
40,NEW,#JasonDeruloTV // Amazing 🤩 #GotPermissionToPost From @dilya.abdusalimova #SlowLow,4,"#7 Turkey, #2 Russia, #1 Italy"
41,+1,Now He’ll Never Leave😭,41,"#24 Malaysia, #43 Romania, #14 South Africa"
42,-13,Los 50 Juegos FAVORITOS de FEDELOBO I Parte 2,9,"#34 Mexico, #34 Argentina, #26 Colombia"
43,-11,LES PRESENTO A MI NOVIA !! - Fernanfloo,16,"#37 Argentina, #49 Mexico, #36 Colombia"
44,+22,フォーメーション付きで I WANNA BE YOUR SLAVE 踊ってみた♪ #shorts,15,"#19 Russia, #11 Italy, #38 Turkey"
45,-14,‎DILLOM - Cirugía (Videoclip),9,"#16 Argentina, #35 Mexico, #30 Colombia"
46,+49,Tom and jerry #vivekveena #youtubeshorts,12,"#36 Turkey, #19 Malaysia, #39 Philippines"
47,-13,DILLOM - Buenos tiempos (Videoclip)‎,9,"#18 Argentina, #39 Mexico, #29 Colombia"
48,-18,1🥺🎉 #thankyou,28,"#22 Vietnam, #26 Romania, #47 Philippines"
49,-22,Paulo Londra - Posdata: (Official Video),15,"#29 Argentina, #34 Colombia, #23 Peru"
50,+1,Now You Can Cook Like Albert! Get a Copy of My CookBook 🔥#shorts #food #pizza,10,"#34 Turkey, #21 Italy, #41 Philippines"
51,-6,Claudia Sheinbaum celebra en el Zócalo tras ganar elección presidencial | Destino 2024,8,"#8 Mexico, #21 Colombia, #19 Peru"
52,-17,ATEEZ(에이티즈) - 'WORK' Official MV,19,"#38 Argentina, #39 Colombia, #29 Chile"
53,-5,Send this to an artist! 😏 #shortsart,28,"#36 Thailand, #21 Romania, #46 Poland"
54,+44,When someone reclines their seat ✈️,21,"#38 Thailand, #36 Russia, #17 Romania"
55,NEW,اتحديت زوجتي تلاقي امها !!,12,"#3 Algeria, #2 Egypt, #9 Morocco"
56,NEW,YSY A - BLOQUE FINAL ESTADIO DE HURACÁN (EN VIVO),6,"#11 Argentina, #33 Mexico, #28 Colombia"
57,-11,¿AÚN ME GUSTA CAROL CASTRO? 😱Respondiendo PREGUNTAS INCÓMODAS,13,"#46 Mexico, #47 Argentina, #43 Colombia"
58,-9,HAY UN HOSPITAL ABAJO DE MI CASA,16,"#50 Mexico, #46 Argentina, #49 Colombia"
59,-3,سويت فريق كرة قدم من 11 معضل 💪,12,"#10 Algeria, #7 Egypt, #15 Morocco"
60,NEW,No esperaba ese final,10,"#5 Philippines, #21 Thailand, #17 Malaysia"
61,-25,I Need Your Help..,32,"#16 Malaysia, #18 Kazakhstan, #37 Pakistan"
62,+49,"Homeless Woman and Child Help a Stranger, What Happens Next Will Amaze You! 🌟💖 #kindness #shorts",16,"#9 Philippines, #14 Romania, #28 Italy"
63,-10,"Luck Ra, Maluma, Khea - HOLA PERDIDA REMIX",11,"#22 Argentina, #38 Colombia, #27 Chile"
64,-21,MI NUEVA CASA con Will Smith,15,"#40 Argentina, #41 Colombia, #33 Chile"
65,NEW,¿SUAVECITO Y YO TERMINAMOS?😱| Es momento de contarles la verdad,7,"#12 Mexico, #20 Colombia, #22 Peru"
66,+4,Carbonara under PRESSURE @Lionfield,20,"#7 Malaysia, #32 Philippines, #40 Poland"
67,NEW,روتين حياتنا في بيت واحد 🏠 (6 اشخاص),11,"#12 Algeria, #10 Egypt, #21 Morocco"
68,-31,BRUTAL KO | Zhilei Zhang vs. Deontay Wilder Highlights (Queensberry vs. Matchroom - Riyadh Season),16,"#32 Indonesia, #45 United States, #39 France"
69,-11,ملخص نهائي دوري أبطال أوروبا لموسم 2023-2024 | بوروسيا دورتموند وريال مدريد,12,"#14 Algeria, #11 Egypt, #20 Morocco"
70,-20,VISITANDO UN SUPERMERCADO EN MÉXICO,15,"#38 Mexico, #50 Argentina, #45 Chile"
71,-27,Carin León - Despídase bien [Official Video],11,"#43 Argentina, #33 Colombia, #32 Chile"
72,-9,جربت أغرب 18 طريقة لتختيم ماين كرافت !,9,"#15 Algeria, #8 Egypt, #18 Morocco"
73,-21,"Kenia OS, Yeri Mua, Ghetto Kids - Mamita Rica (Video Oficial)",13,"#41 Mexico, #40 Colombia, #32 Peru"
74,-49,Kep1er 케플러 | ‘Shooting Star’ M/V,4,"#8 Japan, #25 Indonesia, #44 Brazil"
75,-35,Bridgerton Season 3 | Part 2 Official Trailer | Netflix,9,"#16 United States, #27 France, #22 Germany"
76,-22,INVITO A KARELY RUIZ AL MUNDIAL - TheGrefg,15,"#48 Mexico, #47 Colombia, #46 Chile"
77,-44,BADVILLAIN - 'BADVILLAIN' MV,4,"#14 Indonesia, #38 Brazil, #29 South Korea"
78,-11,جربت ٧ أكلات عمري ما أكلتهم في حياتي !,10,"#4 Egypt, #25 Algeria, #25 Morocco"
79,-11,Nia Jax attacks Jade Cargill in front of her daughter 😨,29,"#32 Romania, #16 Israel, #15 Serbia"
80,-33,They succeed because they are united!,19,"#25 Philippines, #11 Malaysia, #23 South Africa"
81,NEW,Si Ya No Sabes Cómo Cocinar La Carne Molida Haz Está Deliciosa Receta,3,"#13 Mexico, #20 Argentina, #27 Colombia"
82,-8,يوم الولادة المفاجئ 🤰( الحمد لله علي مارزقتنا 🤲),12,"#3 Egypt, #32 Algeria, #17 Saudi Arabia"
83,+111,I NEED 1 MORE SUB!,15,"#30 Philippines, #13 Malaysia, #30 Pakistan"
84,NEW,"مسلسل شباب البومب 12 - الحلقة السادسة والعشرون "" AIR DND "" 4K",12,"#17 Egypt, #5 Saudi Arabia, #39 Algeria"
85,+17,#JasonDeruloTV // Cake 💯#GotPermissionToPost From @namelesscake_art #SpicyMargarita,7,"#33 Turkey, #31 Italy, #32 Spain"
86,-13,Victoria en el Zócalo de la Ciudad de México,4,"#15 Mexico, #25 Colombia, #25 Peru"
87,+2,WHY IS A CAR MORE EXPENSIVE THAN A GIRL?,11,"#40 Philippines, #12 Kazakhstan, #37 Romania"
88,NEW,Halsey - The End (Official Lyric Video),4,"#19 United States, #27 Brazil, #38 United Kingdom"
89,-30,"Rei, Duki - UN MONTÓN (Video Oficial)",10,"#27 Argentina, #38 Chile, #35 Peru"
90,-13,The Worlds Most Powerfull Batteries !,27,"#29 Kazakhstan, #26 Ukraine, #42 Israel"
91,-36,BROMA a JUANITO 😱 DESTRUÍ su CARRO FAVORITO por esta razón,14,"#49 Argentina, #28 Dominican Republic, #47 Chile"
92,-11,Real Madrid lift their 15th European trophy! | UCL Today | CBS Sports Golazo,17,"#28 Egypt, #45 Algeria, #34 Morocco"
93,-10,الخامسة عشر,11,"#21 Egypt, #38 Algeria, #33 Morocco"
94,-22,🏆SORTEO OCTAVOS DE FINAL ⚽ CONMEBOL LIBERTADORES,7,"#28 Argentina, #26 Peru, #44 Colombia"
95,NEW,Inside Air Force One During 9/11,4,"#4 United States, #9 United Kingdom, #3 Canada"
96,NEW,A Weekend I'll Remember Forever - Monaco 2024,5,"#8 France, #34 United States, #16 United Kingdom"
97,NEW,Estuvimos en la final de la Champions!,4,"#16 Mexico, #23 Colombia, #20 Ecuador"
98,-10,ركلات الترجيح الهلال - النصر كاملة في نهائي أغلى الكؤوس,10,"#19 Egypt, #22 Morocco, #41 Algeria"
99,-42,Black Magic 🪄 by Petkit Pura Max #cat #cats,20,"#18 Malaysia, #44 Romania, #44 Kazakhstan"
100,-40,INCOMODANDO A CECIA LOAIZA ¿Por qué ocultó a su novio?// Steff Loaiza,7,"#44 Mexico, #42 Colombia, #41 Peru"
101,NEW,Madame Web - The Worst Superhero Movies Ever Made,4,"#5 United States, #12 United Kingdom, #7 Canada"
102,NEW,So I've played 3 hours of Elden Ring's DLC...,4,"#6 United States, #11 United Kingdom, #6 Canada"
103,+2,بودكاست المتزوجون الحلقة الحادية عشر l ماكنش هيتجوزني و خليته يحبني - حسام انتيكا و يارا بهنساوي,8,"#1 Egypt, #29 Morocco, #14 Saudi Arabia"
104,-26,Miracle Doctor Saves Blind Girl ❤️,16,"#29 Malaysia, #48 Philippines, #19 South Africa"
105,-36,Oscar Maydon x Junior H - Volver Al Futuro [Official Video],3,"#11 Mexico, #24 Colombia, #11 Guatemala"
106,-12,"الفائز يربح 1,000,000 ريال سعودي | اكثر ثلاث ايام توتر في حياتي",8,"#18 Egypt, #4 Saudi Arabia, #36 Algeria"
107,NEW,Да что это за хомяк? Сын объясняет Hamster Kombat. В чем прикол Play-to-Earn…,7,"#3 Russia, #6 Ukraine, #35 Kazakhstan"
108,NEW,I brought the boy to his homeland,5,"#11 United States, #14 United Kingdom, #9 Canada"
109,-24,😭,13,"#37 Philippines, #30 Malaysia, #41 Romania"
110,-17,Taking Edna to Disneyland😂 @khiankb,18,"#43 Philippines, #26 Malaysia, #3 South Africa"
111,-46,Resumen y gol | México vs Bolivia | Amistoso Internacional | TUDN,7,"#45 Argentina, #24 Peru, #39 Chile"
112,NEW,LeBron James Opens Up About Kyrie Irving Making It Back to the NBA Finals,4,"#8 United States, #10 Canada, #29 United Kingdom"
113,NEW,ليش شحنت 700 دولار؟ 🤔,8,"#14 Egypt, #43 Algeria, #47 Morocco"
114,NEW,I went on vacation and gave my editor the worst video,4,"#10 United States, #22 United Kingdom, #12 Canada"
115,-54,VUELVO A MEXICO CON IAN LUCAS FEDE VIGEVANI TEO DM Y EL PARCERITO,10,"#41 Argentina, #44 Chile, #49 Peru"
116,-40,"Las noticias de la mañana, lunes 3 de junio de 2024 | Noticias Telemundo",6,"#24 Mexico, #22 Dominican Republic, #39 Ecuador"
117,-17,Cute Barbie Gadget 🥰 #gadgets,7,"#45 Philippines, #32 Malaysia, #23 Kazakhstan"
118,NEW,The Logistics of German Reunification,4,"#13 United States, #19 United Kingdom, #11 Canada"
119,NEW,I played Elden Ring's DLC for 3 hours... my thoughts,4,"#12 United States, #21 United Kingdom, #14 Canada"
120,NEW,5-Year-Old Chrisyius Whitehead Is A Drumming SAVANT! | Auditions | AGT 2024,5,"#9 United States, #4 Canada, #46 United Kingdom"
121,-9,لعبة رايديشن 3 😂 ( المشفوح 😭),7,"#20 Egypt, #33 Algeria, #3 Saudi Arabia"
122,-31,بث مباشر لنهائي كأس الملك الهلال والنصر | نهائي أغلى الكؤوس,11,"#22 Egypt, #16 Saudi Arabia, #41 Morocco"
123,-33,"Kenia OS, El Malilla - Un Bezito (Video Oficial)",10,"#42 Mexico, #42 Dominican Republic, #36 Ecuador"
124,-38,Surprising Ray At His Graduation!,6,"#23 United States, #34 Germany, #42 United Kingdom"
125,NEW,SOLTERO - ELAGGUME x ECKO ft OMAR VARELA,3,"#30 Mexico, #25 Argentina, #26 Uruguay"
126,NEW,White Night (Extended Version) - Honkai English VAs Cover || Honkai: Star Rail,4,"#14 United States, #26 United Kingdom, #15 Canada"
127,-31,ملخص مباراة الهلال x النصر - نهائي كأس خادم الحرمين الشريفين 2024,11,"#23 Egypt, #28 Morocco, #21 Saudi Arabia"
128,-66,FEDE ME ROBO EL CANAL POR 24 HORAS,11,"#48 Argentina, #49 Chile, #50 Peru"
129,NEW,Man vs Wind Turbine 🤯,12,"#15 Italy, #10 Spain, #8 Netherlands"
130,NEW,Recreating the Last Meal of Ötzi the Iceman,4,"#15 United States, #33 United Kingdom, #18 Canada"
131,-56,"State of Play | May 30, 2024",18,"#36 Dominican Republic, #49 Egypt, #38 Tunisia"
132,NEW,#فلم_ماين_كرافت : التنين الثلجي ضد البيت المحمي !,7,"#34 Algeria, #35 Morocco, #27 Saudi Arabia"
133,NEW,3.3M Olduğumda sıra Feridede ABONE OLUN 🤫 Abone Challenge Ahmet Can Dündar,3,"#1 Turkey, #11 Azerbaijan, #34 Cyprus"
134,NEW,The Most Confusing Part of the Power Grid,4,"#17 United States, #16 Canada, #36 United Kingdom"
135,-6,Jose Mourinho!,3,"#2 Turkey, #8 Azerbaijan, #41 Cyprus"
136,-35,سويت كبسه لياسر القحطاني في المكسيك👨🏽‍🍳🇲🇽🔥,11,"#27 Egypt, #34 Saudi Arabia, #50 Morocco"
137,-33,تحدي البحث والإختباء في ماين كرافت Minecraft !,10,"#32 Egypt, #50 Algeria, #22 Saudi Arabia"
138,-19,#فلم_ماين_كرافت : قصر الوردي ضد قصر الازرق !,7,"#25 Egypt, #46 Algeria, #29 Saudi Arabia"
139,-42,Try it 😁 @karina-kola,11,"#34 Malaysia, #9 South Africa, #29 Nepal"
140,-58,BETA SQUAD vs AMP FOOTBALL MATCH [OFFICIAL STREAM],5,"#36 United States, #13 United Kingdom, #33 Germany"
141,-15,Kızılcık Şerbeti Sezon Finali 2. Fragman | “Biri düştü!”,3,"#3 Turkey, #17 Azerbaijan, #6 Cyprus"
142,-15,New Gadgets! Bycycle 4.0 🚲 #shorts,4,"#22 Philippines, #33 Malaysia, #19 Kazakhstan"
143,NEW,ARK The Center Ascended + Pyromane Trailer,3,"#20 United States, #17 United Kingdom, #28 Canada"
144,-35,جربنا مطعم ب $10 ضد $1000,7,"#30 Egypt, #42 Algeria, #11 Saudi Arabia"
145,NEW,"SIDEMEN $1,000,000 REALITY SHOW: INSIDE EP. 3",5,"#41 United States, #1 United Kingdom, #26 Canada"
146,-30,BRAWL STARS x DRAGONFORCE: A Draco Tale,10,"#41 Chile, #42 Peru, #37 Dominican Republic"
147,+148,Bringing a new meaning to hill sprints 😮‍💨 #hardenduro,14,"#46 Italy, #35 Spain, #17 South Africa"
148,-10,Yalan 2. Bölüm I Full Bölüm,5,"#16 Turkey, #4 Azerbaijan, #29 Bulgaria"
149,-42,🔴 بث مباشر | الرجاء الرياضي - الوداد الرياضي,7,"#12 Morocco, #29 Egypt, #15 Tunisia"
150,-44,TRASH or PASS! Eminem ( Houdini ) [REACTION!!!],4,"#26 United States, #28 United Kingdom, #22 Canada"
151,NEW,Bahar 15. Bölüm,3,"#6 Turkey, #25 Azerbaijan, #20 Cyprus"
152,NEW,"CLORINDE GUIDE: How to Play, Best Artifact & Weapon Builds, Team Comps | Genshin Impact 4.7",3,"#24 United States, #24 United Kingdom, #19 Canada"
153,-12,When he wears skinny jeans 👖,12,"#39 Romania, #34 Hungary, #50 Israel"
154,-55,سويت رابطة لفريق شونق !!🫡🇸🇦,10,"#13 Saudi Arabia, #38 Egypt, #23 Tunisia"
155,NEW,Aye Alfonso pasó a la final de Factor X,3,"#10 Argentina, #12 Uruguay, #2 Paraguay"
156,-22,🔴 بث مباشر | المغرب التطواني - الجيش الملكي,7,"#13 Morocco, #35 Egypt, #19 Tunisia"
157,-49,خويت القهوى كنبيع كلشي 😔 الحقيقة كاملة علاش سدينها 😭,4,"#6 Morocco, #23 Algeria, #36 Saudi Arabia"
158,-45,Deep Rock Galactic: Season 05 - Narrated Trailer,4,"#28 United States, #37 United Kingdom, #23 Canada"
159,NEW,Dad builds fire truck for daughters birthday🚒😍😱,3,"#17 Spain, #32 Poland, #41 Italy"
160,-57,اطول رحلة في حياتي ✈️!! ( 30 ساعه في الطيارة !),9,"#10 Saudi Arabia, #36 Egypt, #25 Tunisia"
161,-82,Official Trailer - Shadow and Fury | The War Within | World of Warcraft,5,"#43 United States, #29 Germany, #44 United Kingdom"
162,-31,He Survived However He Could. But He Knew He Needed Only ONE Punch to Win #shorts,12,"#33 Poland, #33 Spain, #46 Serbia"
163,NEW,I Surprised ATEEZ With Custom Outfits!,3,"#27 United States, #34 United Kingdom, #27 Canada"
164,NEW,Bridgerton was Fun ... Until it Wasn't! Daphne go to JAIL !! (S1 Pt2 reaction),3,"#30 United States, #31 United Kingdom, #21 Canada"
165,-50,"CHEAP CAR BATTLE! Racing Our $3,000 Budget Cars!",3,"#25 United States, #25 Canada, #47 United Kingdom"
166,-17,Who says Goldman Statue is not getting kisses at work?😎 #performer #livingstatue #streetart,12,"#47 Malaysia, #39 Pakistan, #31 Kenya"
167,NEW,#فلم_ماين_كرافت : المهرج الشرير ضد البنت هالك !,6,"#40 Algeria, #45 Morocco, #35 Saudi Arabia"
168,-50,أصعب يوم للفريق والفرصة الاخيرة 😨💔! #7,10,"#33 Egypt, #28 Saudi Arabia, #26 Tunisia"
169,+43,Hot Ball ASMR #asmr #asmrsounds #satisfying #relaxing #satisfyingvideo,5,"#36 Philippines, #31 Kazakhstan, #49 Romania"
170,NEW,Make me the happiest man on earth... 🎁🥹,4,"#1 Russia, #37 Belarus, #34 Latvia"
171,NEW,MULTIVERSUS 2.0 ... For Noobs,3,"#31 United States, #35 United Kingdom, #32 Canada"
172,NEW,Айфон Грозного 😂#ComedyClub #КамедиКлаб #галыгин #ГарикХарламов #тнт4 #тнт #тайнасфинкса #конецсвета,3,"#25 Russia, #17 Ukraine, #18 Belarus"
173,-53,Can Bryson DeChambeau Beat Me With Kids’ Clubs?,4,"#42 United States, #40 United Kingdom, #29 Canada"
174,-30,Can you beat this impossible game?,4,"#42 Vietnam, #36 Malaysia, #48 Kazakhstan"
175,-33,Bahar 14. Bölüm,3,"#28 Turkey, #2 Azerbaijan, #2 Cyprus"
176,-18,الكورة مع فايق | لاعب الأهلي صاحب القاضية محمد مجدي أفشة.. في ضيافة إبراهيم فايق,5,"#6 Egypt, #20 Saudi Arabia, #10 United Arab Emirates"
177,-31,JERE KLEIN - MUJER FINA FEAT LUCKY BROWN (VISUALIZER) | ARES KLEIN,3,"#39 Argentina, #28 Chile, #45 Uruguay"
178,-54,JERE KLEIN - YUMMY! FEAT LIL PUMP (VIDEO OFICIAL) | ARES KLEIN,3,"#42 Argentina, #26 Chile, #40 Uruguay"
179,-12,"On a passé 48h en ENFER... (Avec Michou, Zafeel, Hctuan)",3,"#1 France, #1 Belgium, #10 Switzerland"
180,-43,اشتريت سيارة صينية بسعر خيالي مستحيل تصدقه !!,9,"#40 Egypt, #30 Saudi Arabia, #29 Tunisia"
181,-97,ME CONTACTO UNA ENFERMERA DE DMD,10,"#50 Chile, #48 Dominican Republic, #49 Bolivia"
182,-6,HOT ONES : Pierre Niney n'a peur de rien,3,"#2 France, #13 Belgium, #30 Switzerland"
183,NEW,A MASSIVE build for our 15th Anniversary (ft. Grian),3,"#48 United States, #27 United Kingdom, #38 Canada"
184,+16,"SIDEMEN $1,000,000 REALITY SHOW: INSIDE EP. 1",12,"#7 United Kingdom, #4 Australia, #36 Canada"
185,-14,"""خـد شنطتك وأمـشـي"" .. أمير هشام يكشف عن رد فعل كولـر القـــ👊ـوي مع أفشـة قبل بداية التدريبات",4,"#5 Egypt, #26 Saudi Arabia, #26 United Arab Emirates"
186,-94,Buscando la plaga de hipopótamos de Escobar en Colombia | ¿Es real? ⚠️🦛🇨🇴,9,"#50 Colombia, #46 Dominican Republic, #41 Honduras"
187,-18,【斗罗大陆】唐舞麟打球把老六的牙打掉了？#斗罗大陆#唐舞麟#唐老六,3,"#19 Pakistan, #45 Vietnam, #16 El Salvador"
188,+28,Железная задница #орехов #типичный #мотоциклист #байкер,5,"#4 Ukraine, #30 Kazakhstan, #2 Belarus"
189,-6,Сын провинился 😱 #ComedyClub #КамедиКлаб #батрутдинов #харламов #тнт4 #гарикхарламов #тнт #депутат,4,"#9 Ukraine, #22 Kazakhstan, #4 Belarus"
190,-65,Tems: Tiny Desk Concert,3,"#46 United States, #49 United Kingdom, #43 Canada"
191,-17,Заметили?,3,"#6 Kazakhstan, #31 Ukraine, #16 Belarus"
192,-41,How I Did The Mcdonalds Drink Trick 🤯🥤#shorts,11,"#50 Poland, #30 Israel, #30 Portugal"
193,-20,Cool kid. #ello,3,"#39 Thailand, #47 Taiwan, #14 Hong Kong"
194,-29,Sigma Girl Education #sigma #viral #comedy,6,"#45 Malaysia, #42 Kazakhstan, #50 South Africa"
195,-10,Borussia Dortmund 0-2 Real Madrid | Champions League 23/24 Match Highlights,3,"#5 Malaysia, #16 Hong Kong, #4 Singapore"
196,-53,لن تتوقع أبدا القاتل!.. خدعة ذكية كشفت لغز جريمة قتل مدوية 😱🔥 - مع ليمو,7,"#34 Egypt, #30 Tunisia, #41 Jordan"
197,NEW,The key moments from Sunak and Starmer's fiery first head-to-head debate | ITV News,3,"#2 United Kingdom, #20 Canada, #18 Australia"
198,-19,#كواليس_المدرج | نهائي كاس الملك 😨| الهلال 5- 4 النصر | سيناريو مجنون 🔥🔥🔥,3,"#6 Saudi Arabia, #23 Morocco, #22 United Arab Emirates"
199,-27,"CA7RIEL & Paco Amoroso, TINI - AGUA (Letra/Lyrics)",3,"#35 Argentina, #37 Uruguay, #42 Paraguay"
200,-38,better luck next time,14,"#25 South Africa, #17 Netherlands, #16 Belgium"
201,+27,Ruining Harry Potter Book For Making A Cringe Phone Case😥🤔WORTH IT? #harrypotter #phonecase #iphone,8,"#45 Taiwan, #44 Israel, #37 Hungary"
202,-12,ضربات جزاء مباراة الاتحاد السكندري 3 - 4 أبو قير للأسمدة|دور الـ 32 من مسابقة كأس مصر موسم 2023-2024,4,"#13 Egypt, #41 Saudi Arabia, #45 Libya"
203,-64,جربت اغرب السناكات السوريه🇸🇾😍!!,5,"#42 Egypt, #35 Tunisia, #26 Jordan"
204,NEW,АККУРАТНЫЙ ТИМ😂😂 Ролик на канале Аня Ищук🥹 #аняищук #димасблог #anyaischuk,3,"#20 Kazakhstan, #24 Ukraine, #15 Belarus"
205,-35,حياة عيلتنا: توأم سند الضائع,6,"#48 Egypt, #33 Tunisia, #28 Jordan"
206,-1,Китайка и Пчелка 4 серия😂😆,3,"#24 Kazakhstan, #21 Ukraine, #22 Belarus"
207,-74,FEEDING STARVING INFLUENCERS FT BRETMAN ROCK,3,"#47 United States, #48 Canada, #45 Australia"
208,-22,تحدي الغباء؟,8,"#46 Egypt, #31 Tunisia, #35 Jordan"
209,-14,Шокирующая Речь Выпускника 😳📽️@CarrolltonTexas,6,"#17 Kazakhstan, #49 Ukraine, #18 Lithuania"
210,-44,"مسلسل شباب البومب 12 - الحلقة الثانية والعشرون "" لحسة مخ "" 4K",9,"#45 Saudi Arabia, #39 Tunisia, #33 Jordan"
211,-24,Giving 1000 Phones Away,5,"#41 Malaysia, #16 Sri Lanka, #15 Nigeria"
212,-30,"On passe au détecteur de mensonges... (ft Djilsi, Maxime Biaggi & Gotaga)",3,"#25 France, #3 Belgium, #17 Switzerland"
213,-10,Grupo Firme - El Beneficio De La Duda (Video Oficial),6,"#25 Bolivia, #41 Guatemala, #33 Honduras"
214,-10,Can't Punish an Introvert,11,"#48 Malaysia, #38 South Africa, #45 Lithuania"
215,-8,Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA),6,"#1 Serbia, #1 Bosnia and Herzegovina, #1 Croatia"
216,-55,ELE QUEBROU A TAÇA DE FUTEBOL,3,"#37 Malaysia, #39 Kazakhstan, #43 Georgia"
217,-36,Как быстро замутить ЭлектроСамокат,5,"#9 Kazakhstan, #12 Belarus, #21 Lithuania"
218,-63,Lamentablemente,3,"#31 Chile, #27 Guatemala, #21 Costa Rica"
219,-9,"MY BABY BOY (New Movie) Maurice Sam, Chinenye Nnebe, Sonia Uche 2024 Nollywood Romance Movie",6,"#2 Kenya, #1 Nigeria, #5 Jamaica"
220,-110,"Rei, Milo j - Semillero (Video Oficial)",4,"#38 Peru, #40 Bolivia, #39 Uruguay"
221,NEW,Узнал страшную правду 30ти летнего мотора Форда😱,5,"#7 Ukraine, #5 Belarus, #31 Lithuania"
