Country,#1 Overall,#1 Music
Jordan,اتحديت زوجتي تلاقي امها !!,"كليب أغنية "" إنتو حكايات "" - تحدي بين الصبيان والبنات جزء 2 - جديد 2024"
Kazakhstan,Sprinting with More and More Money,Sadraddin & IL’HAN - Aman bolşy suigenim | Official Visualizer
Kenya,The GIRL's skills are AMAZING🔪🎋#camping #survival #bushcraft #outdoors #lifehack,CENTRAL CEE FT. LIL BABY - BAND4BAND (MUSIC VIDEO)
Kuwait,اتحديت زوجتي تلاقي امها !!,Eminem - Houdini [Official Music Video]
Latvia,Sprinting with More and More Money,Eminem - Houdini [Official Music Video]
Lebanon,اتحديت زوجتي تلاقي امها !!,Al Shami - Khodni [Official Music Video] (2024) / الشامي - خدني
Libya,اتحديت زوجتي تلاقي امها !!,Samara - Magic (Official Audio)
Lithuania,Nepatogūs klausimai su Rolandu Mackevičiumi. Svečiuose – Eimantas Stanionis,Jessica Shy – Žvaigždės
Malaysia,The GIRL's skills are AMAZING🔪🎋#camping #survival #bushcraft #outdoors #lifehack,BABYMONSTER - 'LIKE THAT' EXCLUSIVE PERFORMANCE VIDEO
Malta,Eminem - Houdini [Official Music Video],Eminem - Houdini [Official Music Video]
Mexico,I Built 7 EXTREME Rooms in My House!,"Kenia OS, Yeri Mua, Ghetto Kids - Mamita Rica (Video Oficial)"
Morocco,الكحول الفاسدة : عائلات سيدي علال التازي تبكي على امواتها قرب مستودع الاموات بالقنيطرة,MANAL - MAHBOULA - CHAPTER III - (Official Music Video)
Nepal,The GIRL's skills are AMAZING🔪🎋#camping #survival #bushcraft #outdoors #lifehack,A Aama Jam Bhanyo Malai - Rita Thapa Magar • Prakash Saput • Sanisha Bhattarai • New Nepali Song
Netherlands,IS ROXY DEKKER KLAAR VOOR EEN BANKZITTER?,Eminem - Houdini [Official Music Video]
New Zealand,Eminem - Houdini [Official Music Video],Eminem - Houdini [Official Music Video]
Nicaragua,I Built 7 EXTREME Rooms in My House!,LOMIIEL - HAY LUPITA
Nigeria,"MY BABY BOY (New Movie) Maurice Sam, Chinenye Nnebe, Sonia Uche 2024 Nollywood Romance Movie",How Sweet
North Macedonia,Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA),Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA)
Norway,Eminem - Houdini [Official Music Video],Eminem - Houdini [Official Music Video]
Pakistan,The GIRL's skills are AMAZING🔪🎋#camping #survival #bushcraft #outdoors #lifehack,Shubh - MVP (Official Music Video)
Panama,I Built 7 EXTREME Rooms in My House!,"Boza, ELENA ROSE - Orion (Official Video)"
Paraguay,I Built 7 EXTREME Rooms in My House!,"Luck Ra, Maluma, Khea - HOLA PERDIDA REMIX"
Peru,I Built 7 EXTREME Rooms in My House!,Corazón Serrano - Pagarás Con Lágrimas (Video Oficial)
Philippines,UNEXPECTED,“Dilaw” - Maki (Official Music Video)
Poland,ZEMŚCIŁEM się na NIM 😈😱,Eminem - Houdini [Official Music Video]
Portugal,Eminem - Houdini [Official Music Video],Eminem - Houdini [Official Music Video]
Puerto Rico,I Built 7 EXTREME Rooms in My House!,Dei V - CLIMA (Official Video)
Qatar,اتحديت زوجتي تلاقي امها !!,Eminem - Houdini [Official Music Video]
Romania,BABASHA - Păi Naa | Official Video,BABASHA - Păi Naa | Official Video
Russia,Make me the happiest man on earth... 🎁🥹,FRIENDLY THUG 52 NGG - AMMO
Saudi Arabia,سويت فريق كرة قدم من 11 معضل 💪,Eminem - Houdini [Official Music Video]
Serbia,Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA),Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA)
Singapore,🔴LIVE: 2024 தேர்தல் முடிவுகள் | ஜனநாயகப் பெருவிழா | Election Results | #ElectionWithPT | PTT,Eminem - Houdini [Official Music Video]
Slovakia,Sprinting with More and More Money,SEPAR - DOJDI /prod.DUALITOR/ |Official Video|
Slovenia,Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA),Hitmacher in Ansambel Stil - Polka za 2 milijona folka [Official Video]
South Africa,The GIRL's skills are AMAZING🔪🎋#camping #survival #bushcraft #outdoors #lifehack,Eminem - Houdini [Official Music Video]
South Korea,"[내꺼내먹_홍콩반점] 오래 기다리셨습니다, 여러분의 말씀이 맞았어요...",How Sweet
Spain,LA PREMONICIÓN DE MATRIX #territoriorevival #podcast #humor #destacame #viral #comedia #matrix,"Omar Montes, Lola Indigo, Las Chuches - EL PANTALON (RUMBAS - Official Video)"
Sri Lanka,Anushka Wedding - Wasthi Productions,"Mai Mal (මැයි මල්) - Visal Adare Movie | Yasas Medagedara | Sachin, Rashiprabha, Nimesh, Dinakshie"
Sweden,Semester för 50 vs 500.000,Eminem - Houdini [Official Music Video]
Switzerland,Eminem - Houdini [Official Music Video],Eminem - Houdini [Official Music Video]
Taiwan,柯建銘太愛插嘴受不了？韓國瑜：你嘴巴閉著｜NOWnews#柯建銘 #韓國瑜 #立法院,NewJeans (뉴진스) 'How Sweet' Official MV
Tanzania,Penati | Azam FC 5-6 Yanga SC | CRDB Bank Federation Cup - 02/06/2024,Zuchu feat Toss - SIji (Official Music Video)
Thailand,เมาส์แห่ง... คำสาป 0/17 #เกม #valorant #shorts,BABYMONSTER - 'LIKE THAT' EXCLUSIVE PERFORMANCE VIDEO
Tunisia,اتحديت زوجتي تلاقي امها !!,Samara - Magic (Official Audio)
Turkey,3.3M Olduğumda sıra Feridede ABONE OLUN 🤫 Abone Challenge Ahmet Can Dündar,Mabel Matiz - İki Satır Yara feat. Aşkın Nur Yengi
Uganda,The GIRL's skills are AMAZING🔪🎋#camping #survival #bushcraft #outdoors #lifehack,LOVE COMMISSIONER REMA NAMAKULA FT. DAVID LUTALO OFFICIAL HD VIDEO
Ukraine,Зеленський і нові сигнали Путіну від США. Китай вступає у війну? | Діалоги з Портниковим,MONATIK — А що? (Official video)
United Arab Emirates,اتحديت زوجتي تلاقي امها !!,Eminem - Houdini [Official Music Video]
Uruguay,I Built 7 EXTREME Rooms in My House!,"Luck Ra, Maluma, Khea - HOLA PERDIDA REMIX"
Vietnam,Sprinting with More and More Money,ANH THÔI NHÂN NHƯỢNG - AN CLOCK (KIỀU CHI COVER)
Zimbabwe,Killer T - Kana Ndanyura (Official Video),Killer T - Kana Ndanyura (Official Video)
