Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
128,-4,"¥$ - CARNIVAL (w/ Kanye West, Ty Dolla $ign)",16,5,"","687,236","-38,670","26,252,811"
129,-49,Taylor Swift - Florida!!! (w/ Florence + The Machine),6,12,"","686,314","-155,334","9,638,877"
130,+2,Pozer - Malicious Intentions,6,84,"","685,734","-19,175","4,698,666"
131,+20,James Arthur - Say You Won't Let Go,311,1,(x5),"684,531","+23,947","179,864,270"
132,+13,TOTO - Africa,170,89,"","684,223","+7,015","70,926,836"
133,+19,J. Cole - No Role Modelz,188,38,"","682,835","+23,954","104,258,151"
134,+3,Sabrina Carpenter - Nonsense,19,22,"","681,019","-19,559","11,717,723"
135,+14,Coldplay - Viva La Vida,107,27,"","680,844","+17,837","71,196,611"
136,+3,Zach Bryan - Something in the Orange,47,52,"","677,778","-15,609","29,716,987"
137,+10,Billy Joel - Uptown Girl,13,124,"","677,118","+7,995","8,109,460"
138,+30,"Earth, Wind & Fire - September",122,59,"","676,504","+39,506","43,575,323"
139,+25,Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),171,45,"","672,223","+31,776","69,766,036"
140,+23,Teddy Swims - The Door,3,140,"","669,267","+27,822","1,921,565"
141,-18,Calvin Harris - Feel So Close,15,119,"","668,440","-60,579","7,690,874"
142,NEW,Bring Me The Horizon - liMOusIne (w/ AURORA),1,142,"","667,547","","667,547"
143,-9,Calvin Harris - Summer,86,2,(x3),"660,892","-41,891","33,628,796"
144,+44,Coldplay - A Sky Full of Stars,86,8,"","659,587","+53,656","27,355,647"
145,-4,David Guetta - I'm Good (Blue) (w/ Bebe Rexha),91,1,(x3),"658,769","-27,899","97,538,752"
146,+15,Miley Cyrus - Party In The U.S.A.,131,56,"","657,320","+15,640","58,485,874"
147,-40,Taylor Swift - So High School,6,33,"","656,302","-113,492","6,269,796"
148,+26,Coldplay - Yellow,205,21,"","656,070","+31,896","102,647,026"
149,+22,"Dream Supplier - Clean Baby Sleep White Noise (Loopable) (w/ Baby Sleeps, Background White Noise)",23,82,"","655,600","+24,518","15,249,666"
150,-32,Dua Lipa - Training Season,15,13,"","653,027","-83,378","18,079,251"
151,+21,"Train - Hey, Soul Sister",16,151,"","651,716","+22,577","5,783,869"
152,-6,The Cranberries - Linger,22,56,"","651,023","-23,784","15,035,254"
153,+30,Foo Fighters - Everlong,69,53,"","649,548","+31,724","35,413,027"
154,+5,Bruce Springsteen - Dancing In the Dark,4,154,"","647,730","+4,017","2,544,596"
155,+12,Future - Type Shit (w/ Metro Boomin),10,20,"","647,532","+8,875","7,589,784"
156,-3,Daryl Hall & John Oates - You Make My Dreams,74,97,"","647,225","-6,848","27,593,556"
157,-14,"Ariana Grande - yes, and?",20,3,(x1),"646,998","-36,952","29,285,840"
158,+17,Flo Milli - Never Lose Me,21,14,"","645,663","+21,919","20,459,686"
159,-21,Morgan Wallen - Last Night,59,33,"","645,370","-48,806","36,762,116"
160,+19,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",4,160,"","644,551","+24,345","2,387,586"
161,-11,"Zerb - Addicted (w/ The Chainsmokers, Ink)",3,138,"","643,502","-17,184","2,004,634"
162,=,Arctic Monkeys - Do I Wanna Know?,491,3,(x2),"637,202","-4,261","202,426,392"
163,-21,Arctic Monkeys - Why'd You Only Call Me When You're High?,228,5,"","636,981","-48,585","124,454,984"
164,+18,"Chase & Status - Baddadan (w/ Bou, Flowdan, IRAH, Trigga, Takura)",44,10,"","636,762","+17,418","47,905,688"
165,-10,Fleetwood Mac - Go Your Own Way - 2004 Remaster,192,62,"","633,710","-17,489","85,478,394"
166,-22,"Dimitri Vegas & Like Mike - Thank You (Not So Bad) (w/ Tiësto, Dido, W&W, Dimitri Vegas, Like Mike)",18,119,"","633,463","-43,817","11,117,419"
167,+6,Harry Styles - Watermelon Sugar,196,4,"","630,587","+4,624","152,874,285"
168,-3,SZA - Kill Bill,72,2,(x6),"628,498","-11,284","95,130,702"
169,+27,The Script - Hall of Fame (w/ will.i.am),9,46,"","627,932","+32,155","1,809,946"
170,+8,The Neighbourhood - Sweater Weather,191,19,"","627,526","+6,949","128,287,286"
171,+23,OneRepublic - Counting Stars,243,1,(x4),"625,684","+26,921","91,647,714"
172,+26,Oasis - Wonderwall - Remastered,412,60,"","625,276","+31,259","185,337,899"
173,RE,Bring Me The Horizon - Kool-Aid,4,40,"","625,113","","2,683,841"
174,+11,Outkast - Hey Ya!,23,92,"","625,022","+13,583","11,010,541"
175,-27,Noah Cyrus - July,57,84,"","623,690","-44,356","25,587,507"
176,-16,SZA - Nobody Gets Me,17,31,"","620,195","-22,030","11,702,919"
177,-8,Miguel - Sure Thing,70,4,"","619,957","-14,304","60,112,207"
178,+2,The Beatles - Here Comes The Sun - Remastered 2009,33,115,"","619,923",-185,"14,738,120"
179,-44,YG Marley - Praise Jah In The Moonlight,20,5,"","619,400","-82,395","26,710,615"
180,+13,Foster The People - Pumped Up Kicks,102,100,"","612,668","+13,053","27,575,824"
181,-24,Arctic Monkeys - Fluorescent Adolescent,274,40,"","609,139","-39,205","117,376,068"
182,RE,The Chainsmokers - Something Just Like This (w/ Coldplay),64,3,(x1),"604,209","","59,171,814"
183,-2,Franz Ferdinand - Take Me Out,23,145,"","601,978","-17,533","5,820,529"
184,+15,The Script - Breakeven,2,184,"","600,002","+8,963","1,191,041"
185,RE,Shakira - Hips Don't Lie (w/ Wyclef Jean),21,156,"","599,185","","8,417,928"
186,NEW,Kairo Keyz - GANG,1,186,"","598,389","","598,389"
187,-54,Taylor Swift - loml,6,18,"","596,153","-106,812","7,259,319"
188,RE,The Weeknd - Blinding Lights,229,1,(x9),"594,482","","240,245,084"
189,RE,Linkin Park - In the End,14,28,"","594,374","","7,943,906"
190,NEW,Bring Me The Horizon - n/A,1,190,"","593,263","","593,263"
191,RE,Nickelback - How You Remind Me,4,177,"","589,551","","2,239,291"
192,-8,Chappell Roan - Red Wine Supernova,4,184,"","585,736","-29,128","2,330,194"
193,RE,TV Girl - Lovers Rock,57,90,"","585,595","","32,564,258"
194,-38,Noah Kahan - Dial Drunk (w/ Post Malone),25,51,"","584,591","-65,771","16,421,987"
195,-6,XXXTENTACION - Revenge,60,95,"","584,403","-21,518","26,820,272"
196,RE,Eminem - Without Me,159,51,"","584,337","","78,018,222"
197,-43,"Jaxomy - Pedro (w/ Agatino Romero, Raffaella Carrà)",6,125,"","584,275","-67,925","4,088,451"
198,-7,Fleetwood Mac - The Chain - 2004 Remaster,218,74,"","584,117","-18,634","96,405,556"
199,NEW,Cyndi Lauper - Girls Just Want to Have Fun,1,199,"","581,736","","581,736"
200,-34,Dua Lipa - Houdini,29,7,"","580,894","-58,116","34,318,209"
