song_id	album_id	track_number	release_date	release_date_precision
7taXf5odg9xCAZERYfyOkS	4E8tfxh5YBsHLtTHA1tMTv	22	2001-09-03	day
25leEEaz1gIpp7o21Fqyjo	3BPDSjoJlho8oiUPUNrShM	1	1947	year
3GJ4hzg4lrGwU51Y3VARbF	0g1F5eGVwX4Sxi1n8ojPkE	7	2018-06-22	day
0U2pP3HpalMInP1lOhECsw	3tEEQmAHMxUtdCkvy1IIGB	1	2018-02-22	day
4T3fNx3CgwDRRYgmFCbD4J	6Nd4PYvQ7aYid1Gn6sWgeG	1	2018-09-14	day
3T6Lsd2qR4nk92hwxJ5sBW	5W0pMEXMEu3NYXhpFt99bP	12	1999-04-05	day
2FY7b99s15jUprqC0M5NCT	3JfSxDfmwS5OeHPwLSkrfr	1	2018-11-09	day
2MShy1GSSgbmGUxADNIao5	5n1GSzC1Reao29ScnpLYqp	10	2018-12-14	day
75nEUfYzeskPFRBQk5BvCg	5amo2GCxiyakvppjrpygVw	1	2017-09-22	day
4so0Wek9Ig1p6CRCHuINwW	4ZZvKnA1YJ2KcwjMmHBinq	11	1942-01-01	day
3wScL5W8H40zzCKN0atfBk	50yFYgKdwJANZ5O9MIbMkg	4	2018-09-28	day
46pF1zFimM582ss1PrMy68	2kzkwgOFAtRsDsas5Hi0Qu	11	1963	year
698eQRku24PIYPQPHItKlA	53Oa5Bu0UTU8o8qCTaHKoz	17	2018-06-01	day
4CH66Rxcjcj3VBHwmIBj4T	0YcBWlnJCLef8qsaHaFtfU	1	2018-11-09	day
1G4cdOtF36ZCs6i2dZoC87	4ZRa15xusMfr3hLWUNGBG0	8	2018-12-14	day
3VamXAvVMczcS2PTYtPfBQ	7EpN0TPMSMqGKVjIEzc0Ts	13	2018-10-12	day
6Up545NUflOiXo8cEraH49	6pmoTLfsPpn0wisT3YFJSN	5	2018-09-07	day
5wujBwqG7INdStqGd4tRMX	6tkjU4Umpo79wwkgPMV3nZ	5	2018-12-10	day
3EPXxR3ImUwfayaurPi3cm	0YZLXTaHLcgl5UdtKDiUXD	1	2018-06-29	day
3pJkBPHadRAxBBo484RipI	4w5Jvreahp3yvLqc4vCr9I	3	2017-09-08	day
7sTtHHrD0zDpmzQzH3zegz	2vD3zSQr8hNlg0obNel4TE	6	2018-01-12	day
577YBGuskWkVDCxZrLRB4v	4iF44RCCybJtkBkMoqrLW2	2	2018-11-30	day
2GHO21NrpLapnnfx5z2UL6	5f34GtT1lzD6MVCTZcffNh	3	2018-04-13	day
5HnXcJJbNXQQ7tRlQ9VN1v	1KetVV0MHdeWG0hDkehcHm	1	2018-05-05	day
6Gg25EZRbQd4IHiJz2KSY0	5n1GSzC1Reao29ScnpLYqp	1	2018-12-14	day
01jIO8SJFnpSiNLH1JaBZ5	03AdJ15pTDdmxry6qkKwlO	19	2018-09-07	day
43zdsphuZLzwA9k4DJhU0I	0S0KGZnfBGSIssfF54WSJh	7	2019-03-29	day
6viHvc13l9A6Ua6xugpeX6	03hlPprQQU9VN1H4GaDWoi	11	2017-09-08	day
7pdF27mSDuPWhppnHAmWHa	1qsQOC4Jn0fnaUZLAbs4dz	4	2018-12-07	day
2rxQMGVafnNaRaXlRMWPde	53Oa5Bu0UTU8o8qCTaHKoz	15	2018-06-01	day
5274I4mUMnYczyeXkGDWZN	6P9PZjWXoCRF5b66BafPKY	3	2018-10-19	day
34DFpyq5NJJ79GnGbbJH3p	3OTNvYUGlsb091nCxTMRON	6	2018-03-16	day
25sgk305KZfyuqVBQIahim	7CdLU3GgPy1PH5FVsrPlyA	1	2018-08-17	day
05t7JMip6JrLuSrMV5yYjX	6kouOn7KSqTklk5Mh1vEH2	1	2018-12-13	day
7lAK3oHbfEnvUQWosrMMpR	41GuZcammIkupMPKH2OJ6I	12	2018-08-03	day
68JS5SFTnW5Yv9Vzw81Jf0	24fkX2Gdqw4a6pR9BUYbE5	1	2017-12-01	day
3Ol2xnObFdKV9pmRD2t9x8	3r5hf3Cj3EMh1C2saQ8jyt	11	2018-12-21	day
6XcfKZvJio9Z0fQy11GnNX	2AbPwLvpR0FwpqGt4ZY1q4	4	2018-08-03	day
7uqcLJFlSYjVPLUz1vPxkY	1qsQOC4Jn0fnaUZLAbs4dz	2	2018-12-07	day
5OCJzvD7sykQEKHH7qAC3C	3tx8gQqWbGwqIGZHqDNrGe	5	2018-08-17	day
4axYWgXASdsCBHuwInAubT	1qsQOC4Jn0fnaUZLAbs4dz	9	2018-12-07	day
5lar0mCUejpILVkAz50s2J	1qsQOC4Jn0fnaUZLAbs4dz	3	2018-12-07	day
57nOpVSc3j9o03Cr928ZM4	1qsQOC4Jn0fnaUZLAbs4dz	10	2018-12-07	day
4KpKyRFwN0gcwj58Uqjv7q	1qsQOC4Jn0fnaUZLAbs4dz	6	2018-12-07	day
07FkzikE6FuHIa8Ma7zJGc	1KOmHyNLuOe5YrPhD3Juuf	13	2017-10-06	day
5itzep0nGnq7hxCfFNsTIR	1qsQOC4Jn0fnaUZLAbs4dz	8	2018-12-07	day
5c0Vl3yklw5WX9YI36dPLd	067vA7ZPNuaqGnFyhbxLSb	4	2017-12-21	day
3EQ9QP2E7wjYQba8OSPBst	6UYZEYjpN1DYRW0kqFy9ZE	1	2018-11-30	day
6pUBrvKfJL4qmn95mxU7rC	6UYZEYjpN1DYRW0kqFy9ZE	6	2018-11-30	day
45CCe4gu08OYG1I4MH8TU6	6UYZEYjpN1DYRW0kqFy9ZE	2	2018-11-30	day
1bx4Jw8A7GQtImIQGccI6D	6UYZEYjpN1DYRW0kqFy9ZE	10	2018-11-30	day
3EikYy40GMSp8l5mDV6IQo	0z0z4DcXhHiobX5ZKAw8Qn	3	2018-11-30	day
39RWYLt6hgk9BbhkDgaHW9	4iF44RCCybJtkBkMoqrLW2	3	2018-11-30	day
0jqLv5PuEUA0GthFjdtlS1	6UYZEYjpN1DYRW0kqFy9ZE	13	2018-11-30	day
7cW1wHpSLYgKWzoWlOCPFJ	4iF44RCCybJtkBkMoqrLW2	1	2018-11-30	day
52i143Ph5c3RQaQFBXWix1	4iF44RCCybJtkBkMoqrLW2	6	2018-11-30	day
2G7V7zsVDxg1yRsu7Ew9RJ	1ATL5GLyefJaxhQzSPVrLX	9	2018-06-29	day
2Kpc6hdJqHCG2tt0JW9pyl	3950MST9uRPKyh4Prv7lh1	3	2019-07-12	day
42fw0rxRO2xbesF6mJfd4Y	0g1F5eGVwX4Sxi1n8ojPkE	2	2018-06-22	day
0TlLq3lA83rQOYtrqBqSct	1ATL5GLyefJaxhQzSPVrLX	2	2018-06-29	day
0At2qAoaVjIwWNAqrscXli	3o09FMrUQ5TVBUYb6msCMi	1	2017-02-22	day
5aXgz1oKK8Q9z9xvTmSnrO	6qRbGZqJ3aQY8N8bcHc1ug	1	2018-11-09	day
7wC5eZcFS1Q1BsQ35DU6H4	0ifM8RTX9HjtCJtY9452bW	1	2018-11-20	day
04ZTP5KsCypmtCmQg5tH9R	4TOkZvtqNpg5UHyGxCn0mS	2	2018-06-22	day
6CyJlVAEFlNdpggOLanytL	0iWG0AWnGf939jpHGl6fmR	2	2017-10-20	day
4H0vNUFcHPz5lytcLjwqkr	4sSXylKcBB3p47VfrBJlfK	2	2017-03-17	day
2oPCR02nduYVpj7CTfsA0d	2iarUPEwf9aLuvE0PDvpfi	3	2017-10-13	day
7hDVYcQq6MxkdJGweuCtl9	7fRrTyKvE4Skh93v97gtcU	7	2017-12-22	day
7zLYKWcXnYeHHWidalz7rj	6lggWd5q9Rh66OkDE1eNDr	3	2018-10-19	day
1wjzFQodRWrPcQ0AnYnvQ9	7l6fTSFvlumnPFpOSrbnDV	1	2017-05-19	day
3ee8Jmje8o58CHK66QrVC2	2Ti79nwTsont5ZHfdxIzAm	4	2018-03-16	day
3z8h0TU7ReDPLIbEnYhWZb	6i6folBtxKV28WX3msQ4FE	7	2018-10-19	day
1XJBDDpeuZaj5fvmwhdIMw	5n1GSzC1Reao29ScnpLYqp	6	2018-12-14	day
2VX37A1p7tkvrH2UJwAU0T	3AyDeKEURajOfbPcJQEDrK	1	2018-07-13	day
4u8Gkqyg87iGSW3hQbbnQZ	6JQLDydERhZKXqwQLb9uUY	14	2018-09-21	day
0AcicReEGm1qcENjqzh1Tg	6qRbGZqJ3aQY8N8bcHc1ug	6	2018-11-09	day
2RSHsoi04658QL5xgQVov3	3JfSxDfmwS5OeHPwLSkrfr	5	2018-11-09	day
2rbDhOo9Fh61Bbu23T2qCk	3edjzMAVB9RYRd4UcZBchx	9	2018-10-05	day
1SxagO9GK0UUeEYLmH8Pln	6qRbGZqJ3aQY8N8bcHc1ug	3	2018-11-09	day
0OgGn1ofaj55l2PcihQQGV	5PPDA9I1d0sl1NMbb7Pj5b	1	2017-12-01	day
514rhnksEwHUh6LxXsQ4Y9	4RpgjxgSxcRwGNuWnImneN	1	2018-05-18	day
6NFyWDv5CjfwuzoCkw47Xf	6DEjYFkNZh67HP7R9PSZvv	5	2017-11-10	day
1fvCggAYrW0VtCljtqv4h2	5XRCcUfwtLNQflDd9cfz4U	5	2018-11-02	day
33471tzU1VghDg9zNgGRpz	66Y5XaoFSoa0A4P0u56s8V	4	2017-08-25	day
1jo3TwNGCXfNdB5uba3ZVv	0RejlT9bmqcXGrqMaJRos0	1	2018-09-19	day
1B4gJRq61xTs6r1O0Uq2iY	5XRCcUfwtLNQflDd9cfz4U	8	2018-11-02	day
7azo4rpSUh8nXgtonC6Pkq	2X8UOIkZQdcz2Hi5Ynt2uk	2	2017-09-27	day
09IStsImFySgyp0pIQdqAc	7nEiwcUSwycvC77kZ9ub7c	1	2018-01-23	day
1kFBLqkTuNKlspkJ1EOGjN	6De0uTqKw2KMGDzidbCPhS	12	2017-09-22	day
0oagwWkGlBoACUuKvTmqZV	6MtlLy42YdFaJNOgDA0NZW	1	2018-10-24	day
0Fpen1PTuEnCmOJtUU9Iud	64eE6FnNj7UJ9LEkN4EbvS	1	2018-09-18	day
7uVkYr8gxcPEgqohvynpdN	3puGsi20LOX0858kSrYZKz	1	2018-02-23	day
3to5UxKsozb4T6CfwHuhLJ	6lggWd5q9Rh66OkDE1eNDr	1	2018-10-19	day
2qT1uLXPVPzGgFOx4jtEuo	3tx8gQqWbGwqIGZHqDNrGe	10	2018-08-17	day
2vs5ubqg8QUbfyWZpMfvWe	6P9PZjWXoCRF5b66BafPKY	2	2018-10-19	day
7stcuQtnHL7C6XdPvpwywv	4UNwL1B7JoymNUiTFJa52B	2	2018-10-19	day
2EhJijFUs0WUmNClDBpYJq	6P9PZjWXoCRF5b66BafPKY	5	2018-10-19	day
7jr3iPu4O4bTCVwLMbdU2i	0obMz8EHnr3dg6NCUK4xWp	20	2018-10-19	day
3ZPKocroJIcnHGcnJVlLKD	65sHj9PvsbyD0uugGHjueN	1	2019-01-24	day
3lFf4DnT68QjQGB3iq1BJ9	1dXUZoIxXsldVM0Wbe68lU	1	2017-11-08	day
4L9Ds4mpD3SuYoWwFUlv16	64nhe9s692yKECAoMcEQ8U	3	2019-02-15	day
4lFfMRH0YH4pW5gczTDbNC	0yF51NuQnWH3goQTOUHAJb	1	2018-06-08	day
6Q36XucqrejMId3RydVhch	2DjfazR5N3TgXBQ7oVALA1	1	2018-10-12	day
7pVzUPjJ83QojsVcOthmxP	2DjfazR5N3TgXBQ7oVALA1	3	2018-10-12	day
53yTYusPQJ1AApL1hi0Dnc	6NUEU1vyIctdAg8IHot8Wy	5	2017-12-08	day
7HdNB8nvJOBwHa8hIkzvxp	5n1GSzC1Reao29ScnpLYqp	14	2018-12-14	day
378u8gf9qpJ4ZhxHEvrodl	3edjzMAVB9RYRd4UcZBchx	13	2018-10-05	day
0Y7di9ZCmB6Elad5WISaPc	50yFYgKdwJANZ5O9MIbMkg	3	2018-09-28	day
1E1uGhNdBe6Dddbgs2KqtZ	621cXqrTSSJi1WqDMSLmbL	1	2018-10-05	day
5HeKOKc4phmLn8e4I7EkzD	621cXqrTSSJi1WqDMSLmbL	4	2018-10-05	day
6qNALlmZa1ESnCxJmXE1K9	0mZIUXje90JtHxPNzWsJNR	1	2018-05-11	day
5cGpjfgAvidLy6znwkCxkP	50yFYgKdwJANZ5O9MIbMkg	6	2018-09-28	day
4z2XPrpHz1raJibarWFY7Z	3edjzMAVB9RYRd4UcZBchx	3	2018-10-05	day
5SehvGGC53A7SZKCLXQcyt	621cXqrTSSJi1WqDMSLmbL	9	2018-10-05	day
2DnH4XlEkghUdE8ymdVom5	50yFYgKdwJANZ5O9MIbMkg	10	2018-09-28	day
0ubdf6zWT1It2saK41SkO0	50yFYgKdwJANZ5O9MIbMkg	12	2018-09-28	day
5s6pKnF3ZPtuqvEx1i1V7U	50yFYgKdwJANZ5O9MIbMkg	14	2018-09-28	day
7EgI0dCaQuHFe3OTj5EpWI	50yFYgKdwJANZ5O9MIbMkg	16	2018-09-28	day
1Dk3CfJEtqvj7Xg2AWwfEn	50yFYgKdwJANZ5O9MIbMkg	15	2018-09-28	day
6y4pOReFqH2wzo4CV91cZC	50yFYgKdwJANZ5O9MIbMkg	19	2018-09-28	day
3BUWNzPWz2mDbptZmGEXpB	50yFYgKdwJANZ5O9MIbMkg	23	2018-09-28	day
68lOQPb5tX8U2cQRuas0L2	50yFYgKdwJANZ5O9MIbMkg	22	2018-09-28	day
63TyoT9Ee03rQxv8xmdJ2l	5OSYbbvt14377R8tEOCRUX	1	2018-09-08	day
1kaxyXcAi5ZHF3Q94QXsHK	50yFYgKdwJANZ5O9MIbMkg	18	2018-09-28	day
4E3qImtJzRqLt8ZZyLceOE	50yFYgKdwJANZ5O9MIbMkg	21	2018-09-28	day
7gY3cyGcB2wnk2xDXiA0pe	3FrkD0TTaXBuW19vuEhDGz	1	2019-02-15	day
0tgVpDi06FyKpA1z0VMD4v	3T4tUhGYeRNVUGevb0wThu	5	2017-03-03	day
3CA9pLiwRIGtUBiMjbZmRw	1ATL5GLyefJaxhQzSPVrLX	4	2018-06-29	day
6DCZcSspjsKoFjzjrWoCdn	1ATL5GLyefJaxhQzSPVrLX	5	2018-06-29	day
6Poyf51k7W3NKnsGwAI90B	2acDkDTWdNFie1HjcFa4Ny	3	2018-08-10	day
4VXIryQMWpIdGgYR4TrjT1	6tkjU4Umpo79wwkgPMV3nZ	2	2018-12-10	day
58QhkbaAkLFnn7JwAnAato	3HNnxK7NgLXbDoxRZxNWiR	10	2018-08-31	day
4Vxu50qVrQcycjRyJQaZLC	4w5Jvreahp3yvLqc4vCr9I	8	2017-09-08	day
3DV49ruvI5Sl6iisPZAc2c	2zSuxzKE7PIi9LhCk3uL6o	5	2017-08-04	day
7wBJfHzpfI3032CSD7CE2m	41GuZcammIkupMPKH2OJ6I	1	2018-08-03	day
3oDkdAySo1VQQG0ptV7uwa	6tkjU4Umpo79wwkgPMV3nZ	7	2018-12-10	day
5bJ1DrEM4hNCafcDd1oxHx	5wtE5aLX5r7jOosmPhJhhk	5	2018-08-03	day
2jt2WxXMCD4zjACthkJQVE	3HNnxK7NgLXbDoxRZxNWiR	1	2018-08-31	day
2VIPU72L6tIR4w8J8ap6Kp	6MTPPsqX8KnmDWmnQmbxJ5	12	2017-02-10	day
7B9UAoGiN4iMCv4s40xoiM	6LURWtPusB5fGenqj0lbFd	1	2018-09-14	day
2gsNpSn7VvvJuSrIDfRoYy	3HNnxK7NgLXbDoxRZxNWiR	9	2018-08-31	day
7uzmGiiJyRfuViKKK3lVmR	5EEkfRgfYHiFu0lGur6Z6M	14	2018-04-12	day
5p7GiBZNL1afJJDUrOA6C8	5wtE5aLX5r7jOosmPhJhhk	2	2018-08-03	day
2XTquzYQAdT1Hk78bOUwsv	3HNnxK7NgLXbDoxRZxNWiR	2	2018-08-31	day
01z2fBGB8Hl3Jd3zXe4IXR	5wtE5aLX5r7jOosmPhJhhk	1	2018-08-03	day
7p4vHnYXkxlzvfePJVpcTr	15k99o4mZJ9mfpQGIOrZ45	2	2018-07-11	day
3qN5qMTKyEEmiTZD38BNTT	1ATL5GLyefJaxhQzSPVrLX	6	2018-06-29	day
0wbnC9AUenxp613TYaJsGK	7fd7SEK25VS3gJAUgSwL6y	3	2018-01-26	day
0evt4UZbdhnHtcAnxkm6A1	3HNnxK7NgLXbDoxRZxNWiR	5	2018-08-31	day
60Z57Wdrn0pEVpHI7d7GAX	3HNnxK7NgLXbDoxRZxNWiR	7	2018-08-31	day
4j3GWI86JvSaF0BLdmgcfF	15k99o4mZJ9mfpQGIOrZ45	1	2018-07-11	day
08bNPGLD8AhKpnnERrAc6G	1BmxOYHjQv1dKZRr13YRZM	1	2018-02-09	day
4eWQlBRaTjPPUlzacqEeoQ	2vD3zSQr8hNlg0obNel4TE	1	2018-01-12	day
0JP9xo3adEtGSdUEISiszL	2Ti79nwTsont5ZHfdxIzAm	3	2018-03-16	day
2ZFrEp20VO25BXYhMxh0GW	0bvZHrg1KM0jeoVOSUnMgM	1	2018-04-06	day
33b2wX9d0kxqxhi7lcsC1A	0SukGZiXMtmsZoxstkBtNR	14	2018-08-24	day
7AFASza1mXqntmGtbxXprO	2Ti79nwTsont5ZHfdxIzAm	15	2018-03-16	day
5ubwXXOsH9bUhZsQ0Cybha	0v9PueTztOFDKSFkJ3Fkfn	1	2018-07-18	day
4mHgYpuGHu99Mw69E83CP2	214f4uAY0p2KgY7Fl4fBgk	2	2018-08-10	day
79Mjfhh393dZdAsTvUFDR6	7vM2i8qUZILFrg03mu3pva	1	2018-05-17	day
7rC5Pl8rQSX4myONQHYPBK	1ATL5GLyefJaxhQzSPVrLX	8	2018-06-29	day
0b9oOr2ZgvyQu88wzixux9	7arx9qPJexCsDz67El4qvk	1	2018-05-06	day
2QZ7WLBE8h2y1Y5Fb8RYbH	2VP96XdMOKTXefI8Nui23s	1	2018-05-25	day
70khXICDeTTxgYtw3EysKH	3tx8gQqWbGwqIGZHqDNrGe	6	2018-08-17	day
0WdR2AyLW1Drd3OUdwezM0	3tx8gQqWbGwqIGZHqDNrGe	8	2018-08-17	day
1xWH8zYtDeS9mW1JJG23VZ	3tx8gQqWbGwqIGZHqDNrGe	4	2018-08-17	day
1mJMD1VIQ7jWTP9DK2zmY0	2AQJVx5WiteEOyfmrY7Kgx	1	2017-07-21	day
14kYOiFVPb7E7NfFbqhdln	3tx8gQqWbGwqIGZHqDNrGe	13	2018-08-17	day
003eoIwxETJujVWmNFMoZy	3mzHuQmDLVuecodQNKUd0T	1	2018-06-15	day
0XOnMqLQDO89iAg7dWWwnG	3tx8gQqWbGwqIGZHqDNrGe	14	2018-08-17	day
1e4rwBPVI32vZtTJu7mJ4J	2acDkDTWdNFie1HjcFa4Ny	10	2018-08-10	day
2Yl4OmDby9iitgNWZPwxkd	4KdtEKjY3Gi0mKiSdy96ML	5	2018-04-06	day
1xYpVRspgaLxdJLOTQkTjg	41GuZcammIkupMPKH2OJ6I	5	2018-08-03	day
27a1mYSG5tYg7dmEjWBcmL	41GuZcammIkupMPKH2OJ6I	13	2018-08-03	day
20MuVazoNMv6xjKPnRFOxG	41GuZcammIkupMPKH2OJ6I	8	2018-08-03	day
4SZepBIPDRwPaHIjAKwRDb	41GuZcammIkupMPKH2OJ6I	4	2018-08-03	day
6OaVWaGfhXn70ZJfdVcabn	41GuZcammIkupMPKH2OJ6I	6	2018-08-03	day
7KZ5MMVgBVox9ycroB2UrI	41GuZcammIkupMPKH2OJ6I	2	2018-08-03	day
6rDaCGqcQB1urhpCrrD599	2uL4yvjeT0c3Wv8CF9lQcN	1	2018-08-07	day
11kDth1aKUEUMq9r1pqyds	41GuZcammIkupMPKH2OJ6I	9	2018-08-03	day
7BXW1QCg56yzEBV8pW8pah	7dwIWyB2jdJgL3P2JEgRKm	2	2018-08-10	day
63SevszngYpZOwf63o61K4	6c5gDwB7Xo58thk2vap4Ch	1	2017-06-30	day
6BJbOXDlgVAXSaq6wYFYT2	41GuZcammIkupMPKH2OJ6I	10	2018-08-03	day
4KYS9GK68yeuUJ8vJfPxrq	41GuZcammIkupMPKH2OJ6I	14	2018-08-03	day
6NMtzpDQBTOfJwMzgMX0zl	41GuZcammIkupMPKH2OJ6I	7	2018-08-03	day
4MXhiYIRDMGAuvZc5IFTwC	41GuZcammIkupMPKH2OJ6I	11	2018-08-03	day
2cYqizR4lgvp4Qu6IQ3qGN	41GuZcammIkupMPKH2OJ6I	15	2018-08-03	day
58TaFP5j5i9swOf584yon2	41GuZcammIkupMPKH2OJ6I	16	2018-08-03	day
6vnfObZ4Ys70SBAtti1xZ9	41GuZcammIkupMPKH2OJ6I	17	2018-08-03	day
3dlCF1mzW1UKMOb4b1XN17	6DcjgwmNJdsl2BODdwPOH6	4	2019-03-29	day
6Qn5zhYkTa37e91HC1D7lb	33pt9HBdGlAbRGBHQgsZsU	3	2017-06-23	day
0STK94RxUulYqWzwFlyAb5	4N04d4lvre3E3IbXugDWcA	1	2018-06-21	day
4BdGO1CaObRD4La9l5Zanz	5lFvZh6pCTJzr9UStebyCF	3	2017-07-21	day
4gB7HrYHbJVJ5RFOjxmoq4	1lhNch5NkOONvFhRPh8qaj	6	2017-06-02	day
09mEdoA6zrmBPgTEN5qXmN	4qZBW3f2Q8y0k1A84d4iAO	1	2018-03-30	day
3U21A07gAloCc4P7J8rxcn	2Ek1q2haOnxVqhvVKqMvJe	3	2018-06-01	day
3qmm9AdG0TnShv0drgXNIQ	13AioFwH1nNynbyO8AZW6L	1	2018-06-29	day
39N9RPD9MRb5WmoLzNzPeA	74D2cU8F6KbBqva3mnzrqI	1	2018-03-02	day
3EApebexZ7YqDIqw2EMTDh	5pQOfgCqpu4RrJAfQToFa8	1	2018-07-19	day
3XF5xLJHOQQRbWya6hBp7d	0S0KGZnfBGSIssfF54WSJh	4	2019-03-29	day
5Psnhdkyanjpgc2P8A5TSM	1ATL5GLyefJaxhQzSPVrLX	4	2018-06-29	day
1dUHF4RyMmMTveJ0Rby6Xm	1ATL5GLyefJaxhQzSPVrLX	9	2018-06-29	day
3szf2z1Cy1QMrtHrbn8rz9	1ATL5GLyefJaxhQzSPVrLX	3	2018-06-29	day
4n1bdaKwynQndm47x5HqWX	1ATL5GLyefJaxhQzSPVrLX	8	2018-06-29	day
1vNoA9F5ASnlBISFekDmg3	768Mgdrb3yUmNJ4HW4IJOL	1	2018-01-19	day
0zqy3ss4CwD6u4QPksS0nI	1ATL5GLyefJaxhQzSPVrLX	7	2018-06-29	day
7MywASx2OFZngfoORjo1yy	6Ew52HWkgfbth9ihRAq2Xd	4	2018-07-06	day
6WlxcZKpEV6Bwe9InoVhMp	6Ew52HWkgfbth9ihRAq2Xd	1	2018-07-06	day
7m9OqQk4RVRkw9JJdeAw96	5VdyJkLe3yvOs0l4xXbWp0	2	2017-08-25	day
6cblRiEGDRNZgowcm951R3	1ATL5GLyefJaxhQzSPVrLX	10	2018-06-29	day
4HG1YiGBseVKzjyKcmAJen	1ATL5GLyefJaxhQzSPVrLX	2	2018-06-29	day
4c2xt1trwYZpMqPWY35Xi9	1ATL5GLyefJaxhQzSPVrLX	3	2018-06-29	day
41a7dZcq30Ss5kPMayWRV0	1ATL5GLyefJaxhQzSPVrLX	7	2018-06-29	day
2yg9UN4eo5eMVJ7OB4RWj3	1ATL5GLyefJaxhQzSPVrLX	1	2018-06-29	day
5UVNjOSh27encRBqTpBWup	6Ew52HWkgfbth9ihRAq2Xd	2	2018-07-06	day
4lc61NBCDzy2srBHDQeTfN	6Ew52HWkgfbth9ihRAq2Xd	3	2018-07-06	day
2WP8G2pdddDmnh1xbfKBOI	1ATL5GLyefJaxhQzSPVrLX	5	2018-06-29	day
6tpHfEM8eaETzlPOARYWfZ	4ApFzWwwVGg4nZAyIdUPgA	1	2018-07-06	day
7yotKA30dwTKNEGomV9ZsI	4Wv5UAieM1LDEYVq5WmqDd	2	2018-04-20	day
11L064movtyopGdLiX4sVg	1ATL5GLyefJaxhQzSPVrLX	1	2018-06-29	day
1Knctxx9vGZxpZfF66BIEa	7zfsq2Hboh0SZMcWo2ASkD	1	2018-06-22	day
1Tnw0ItH1Macok8gblnPPd	1ATL5GLyefJaxhQzSPVrLX	12	2018-06-29	day
4SUwJA3eUVNHExxMPEUhQe	1ATL5GLyefJaxhQzSPVrLX	6	2018-06-29	day
44Du2IM1bGY7dicmLfXbUs	1ATL5GLyefJaxhQzSPVrLX	12	2018-06-29	day
09lmraDvzBT3pUQ2rUtJzK	1ATL5GLyefJaxhQzSPVrLX	13	2018-06-29	day
44KKhCyI0BGS6LvVyDqJtH	4q4GytnRgPS9hDyujg8Sg0	1	2018-04-13	day
3GVkPk8mqxz0itaAriG1L7	5VdyJkLe3yvOs0l4xXbWp0	4	2017-08-25	day
1qsHYUd2c1wFGcn7e63QmG	2Ek1q2haOnxVqhvVKqMvJe	2	2018-06-01	day
5eFfsbjSouG8qOpg9ZqDl6	1P18FNogrQRQjmT6t06As8	1	2018-05-16	day
5PTG6rrL6EPFD9E2QMI2pl	5wCuMMmsjXNZ9yU91sEjf7	3	2018-04-06	day
4UKCKdYiLN6IMA5ZESUTL7	2Ti79nwTsont5ZHfdxIzAm	5	2018-03-16	day
