song_id	song_name	billboard	artists	popularity	explicit	song_type
2GGMabyHXnJmjY6CXhhB2e	Money	('Money', 'Cardi B')	{'4kYSro6naA4h99UJvo89HB': 'Cardi B'}	79	True	Solo
14mHfNsSHN0FbLftyjrV9g	Leave Me Alone	('Leave Me Alone', 'Flipp Dinero')	{'2HUwZ0kumzCSlhFcjFZfpp': 'Flipp Dinero'}	80	True	Solo
2uFaJJtFpPDc5Pa95XzTvg	Let It Snow! Let It Snow! Let It Snow!	('Let It Snow, Let It Snow, Let It Snow', 'Dean Martin')	{'49e4v89VmlDcFCMyDv9wQ9': 'Dean Martin'}	47	False	Solo
5ASM6Qjiav2xPe7gRkQMsQ	Sleigh Ride	('Sleigh Ride', 'The Ronettes')	{'7CyeXFnOrfC1N6z4naIpgo': 'The Ronettes'}	46	False	Solo
7taXf5odg9xCAZERYfyOkS	Feliz Navidad	('Feliz Navidad', 'Jose Feliciano')	{'7K78lVZ8XzkjfRSI7570FF': 'José Feliciano'}	46	False	Solo
25leEEaz1gIpp7o21Fqyjo	Here Comes Santa Claus (Right Down Santa Claus Lane)	('Here Comes Santa Claus (Down Santa Claus Lane)', 'Gene Autry')	{'5ixB75BQR3ADoWQkcHQJTs': 'Gene Autry'}	41	False	Solo
3GJ4hzg4lrGwU51Y3VARbF	Speechless	('Speechless', 'Dan + Shay')	{'7z5WFjZAIYejWy0NI5lv4T': 'Dan + Shay'}	74	False	Solo
0U2pP3HpalMInP1lOhECsw	Love Lies	('Love Lies', 'Khalid & Normani')	{'0kwBswqLAwOSM0PdZAEKaM': '2018 DJ Grime'}	2	False	Solo
4T3fNx3CgwDRRYgmFCbD4J	Better	('Better', 'Khalid')	{'6LuN9FCkKOj5PcnpouEgny': 'Khalid'}	75	False	Solo
3T6Lsd2qR4nk92hwxJ5sBW	(There's No Place Like) Home for the Holidays	("(There's No Place Like) Home For The Holidays", 'Perry Como')	{'0HS96tPggl2nwiz3gNWWI5': 'Mitchell Ayres & His Orchestra', '5v8jlSmAQfrkTjAlpUfWtu': 'Perry Como', '2FbG2PIAVFvzszwgz2QuOL': 'The Ray Charles Singers'}	3	False	Collaboration
2FY7b99s15jUprqC0M5NCT	Natural	('Natural', 'Imagine Dragons')	{'53XhwfbYqKCa1cC15pYq2q': 'Imagine Dragons'}	82	False	Solo
2MShy1GSSgbmGUxADNIao5	Calling My Spirit	('Calling My Spirit', 'Kodak Black')	{'46SHBwWsqBkxI7EeeBEQG7': 'Kodak Black'}	75	True	Solo
75nEUfYzeskPFRBQk5BvCg	Wonderful Christmastime	('Wonderful Christmastime', 'Paul McCartney')	{'4STHEaNw4mPZ2tzheohgXB': 'Paul McCartney', '7mAcgRMD6EfCKHO6cIkDOP': 'Jimmy Fallon', '78xUyw6FkVZrRAtziFdtdu': 'The Roots'}	20	False	Collaboration
4so0Wek9Ig1p6CRCHuINwW	White Christmas	('White Christmas', 'Bing Crosby')	{'69UfPJgUmFFAVT740qGVZi': 'Ken Darby Singers', '6ZjFtWeHP9XN7FeKSUe80S': 'Bing Crosby', '735L650pvygCZZlPMyHqsN': 'John Scott Trotter & His Orchestra'}	49	False	Collaboration
3wScL5W8H40zzCKN0atfBk	Uproar	('Uproar', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne', '2cADQgiLMjNhbsfeN52Bf3': 'Swizz Beatz'}	73	True	Collaboration
46pF1zFimM582ss1PrMy68	Christmas (Baby Please Come Home)	('Christmas (Baby Please Come Home)', 'Darlene Love')	{'391oLRVmoTkumiN79HkTWu': 'Darlene Love'}	41	False	Solo
698eQRku24PIYPQPHItKlA	She Got the Best of Me	('She Got The Best Of Me', 'Luke Combs')	{'718COspgdWOnwOFpJHRZHS': 'Luke Combs'}	75	False	Solo
4CH66Rxcjcj3VBHwmIBj4T	BAD!	('BAD!', 'XXXTENTACION')	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	72	False	Solo
1G4cdOtF36ZCs6i2dZoC87	Drunk Me	('Drunk Me', 'Mitchell Tenpenny')	{'1p6CdzJRoicjRcSdWoB9Qc': 'Mitchell Tenpenny'}	72	False	Solo
3VamXAvVMczcS2PTYtPfBQ	Best Shot	('Best Shot', 'Jimmie Allen')	{'147nKr9upHZSSxqCzh9j7c': 'Jimmie Allen'}	71	False	Solo
6Up545NUflOiXo8cEraH49	You Say	('You Say', 'Lauren Daigle')	{'40LHVA5BTQp9RxHOQ9JPYj': 'Lauren Daigle'}	79	False	Solo
5wujBwqG7INdStqGd4tRMX	Armed And Dangerous	('Armed And Dangerous', 'Juice WRLD')	{'4MCBfE4596Uoi2O4DtmEMz': 'Juice WRLD'}	79	True	Solo
3EPXxR3ImUwfayaurPi3cm	Be Alright	('Be Alright', 'Dean Lewis')	{'3QSQFmccmX81fWCUSPTS7y': 'Dean Lewis'}	83	True	Solo
3pJkBPHadRAxBBo484RipI	Sixteen	('Sixteen', 'Thomas Rhett')	{'6x2LnllRG5uGarZMsD4iO8': 'Thomas Rhett'}	67	False	Solo
7sTtHHrD0zDpmzQzH3zegz	Consequences	('Consequences', 'Camila Cabello')	{'4nDoRrQiYLoBzwC5BhVJzF': 'Camila Cabello'}	71	False	Solo
577YBGuskWkVDCxZrLRB4v	Pure Cocaine	('Pure Cocaine', 'Lil Baby')	{'5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}	76	True	Solo
2GHO21NrpLapnnfx5z2UL6	Girl Like You	('Girl Like You', 'Jason Aldean')	{'3FfvYsEGaIb52QPXhg4DcH': 'Jason Aldean'}	48	False	Solo
5HnXcJJbNXQQ7tRlQ9VN1v	Good Girl	('Good Girl', 'Dustin Lynch')	{'1dID9zgn0OV0Y8ud7Mh2tS': 'Dustin Lynch'}	71	False	Solo
6Gg25EZRbQd4IHiJz2KSY0	Testimony	('Testimony', 'Kodak Black')	{'46SHBwWsqBkxI7EeeBEQG7': 'Kodak Black'}	60	True	Solo
01jIO8SJFnpSiNLH1JaBZ5	You	('You', 'Jacquees')	{'4tMm1dU6Gn04VAZ9ClHcIZ': 'Jacquees'}	70	True	Solo
43zdsphuZLzwA9k4DJhU0I	when the party's over	("When The Party's Over", 'Billie Eilish')	{'6qqNVTkY8uBg9cP3Jd7DAH': 'Billie Eilish'}	87	False	Solo
6viHvc13l9A6Ua6xugpeX6	Last Shot	('Last Shot', 'Kip Moore')	{'2hJPr4lk7Q8SSvCVBl9fWM': 'Kip Moore'}	65	False	Solo
7pdF27mSDuPWhppnHAmWHa	whoa (mind in awe)	('whoa (mind in awe)', 'XXXTENTACION')	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	74	False	Solo
2rxQMGVafnNaRaXlRMWPde	Beautiful Crazy	('Beautiful Crazy', 'Luke Combs')	{'718COspgdWOnwOFpJHRZHS': 'Luke Combs'}	79	False	Solo
5274I4mUMnYczyeXkGDWZN	Fine China	('Fine China', 'Future & Juice WRLD')	{'1RyvyyTE3xzB2ZywiAwp0i': 'Future', '4MCBfE4596Uoi2O4DtmEMz': 'Juice WRLD'}	77	True	Collaboration
34DFpyq5NJJ79GnGbbJH3p	This Is It	('This Is It', 'Scotty McCreery')	{'6ZV6lGY0prbqpTD0Md8i29': 'Scotty McCreery'}	71	False	Solo
25sgk305KZfyuqVBQIahim	Sweet but Psycho	('Sweet But Psycho', 'Ava Max')	{'4npEfmQ6YuiwW1GpUmaq3F': 'Ava Max'}	86	False	Solo
05t7JMip6JrLuSrMV5yYjX	Envy Me	('Envy Me', 'Calboy')	{'0HkcYmcjrBR3SCw9Ld5VZk': 'Calboy'}	79	True	Solo
7lAK3oHbfEnvUQWosrMMpR	YOSEMITE	('Yosemite', 'Travis Scott')	{'0Y5tJX1MQlPlqiwlOH1tJY': 'Travis Scott'}	78	True	Solo
68JS5SFTnW5Yv9Vzw81Jf0	Millionaire	('Millionaire', 'Chris Stapleton')	{'4YLtscXsxbVgi031ovDDdh': 'Chris Stapleton'}	67	False	Solo
3Ol2xnObFdKV9pmRD2t9x8	Look Back at It	('Look Back At It', 'A Boogie Wit da Hoodie')	{'31W5EY0aAly4Qieq6OFu6I': 'A Boogie Wit da Hoodie'}	81	True	Solo
6XcfKZvJio9Z0fQy11GnNX	broken	('Broken', 'lovelytheband')	{'4KJ6jujcNPzOyhdNoiNftp': 'lovelytheband'}	73	False	Solo
7uqcLJFlSYjVPLUz1vPxkY	Guardian angel	('Guardian Angel', 'XXXTENTACION')	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	67	True	Solo
5OCJzvD7sykQEKHH7qAC3C	God is a woman	('God Is A Woman', 'Ariana Grande')	{'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'}	80	True	Solo
4axYWgXASdsCBHuwInAubT	I don’t let go	("I Don't Let Go", 'XXXTENTACION')	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	66	True	Solo
5lar0mCUejpILVkAz50s2J	Train food	('Train Food', 'XXXTENTACION')	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	61	True	Solo
57nOpVSc3j9o03Cr928ZM4	what are you so afraid of	('What Are You So Afraid Of', 'XXXTENTACION')	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	66	False	Solo
4KpKyRFwN0gcwj58Uqjv7q	STARING AT THE SKY	('Staring At The Sky', 'XXXTENTACION')	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	62	False	Solo
07FkzikE6FuHIa8Ma7zJGc	Lie	('Lie', 'NF')	{'6fOMl44jA4Sp5b9PpYCkzz': 'NF'}	76	False	Solo
5itzep0nGnq7hxCfFNsTIR	difference (interlude)	('Difference (Interlude)', 'XXXTENTACION')	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	63	False	Solo
5c0Vl3yklw5WX9YI36dPLd	That's On Me	("That's On Me", 'Yella Beezy')	{'7kwCkEJ384PWm0UQW3hxjS': 'Yella Beezy'}	64	True	Solo
3EQ9QP2E7wjYQba8OSPBst	Intro	('Intro', 'Meek Mill')	{'20sxb77xiYeusSH8cVdatc': 'Meek Mill'}	61	True	Solo
6pUBrvKfJL4qmn95mxU7rC	Respect The Game	('Respect The Game', 'Meek Mill')	{'20sxb77xiYeusSH8cVdatc': 'Meek Mill'}	58	True	Solo
45CCe4gu08OYG1I4MH8TU6	Trauma	('Trauma', 'Meek Mill')	{'20sxb77xiYeusSH8cVdatc': 'Meek Mill'}	57	True	Solo
1bx4Jw8A7GQtImIQGccI6D	Almost Slipped	('Almost Slipped', 'Meek Mill')	{'20sxb77xiYeusSH8cVdatc': 'Meek Mill'}	56	True	Solo
3EikYy40GMSp8l5mDV6IQo	Foot Fungus	('Foot Fungus', 'Ski Mask The Slump God')	{'2rhFzFmezpnW82MNqEKVry': 'Ski Mask The Slump God'}	72	True	Solo
39RWYLt6hgk9BbhkDgaHW9	Crush A Lot	('Crush A Lot', 'Lil Baby')	{'5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}	59	True	Solo
0jqLv5PuEUA0GthFjdtlS1	Oodles O' Noodles Babies	("Oodles O' Noodles Babies", 'Meek Mill')	{'20sxb77xiYeusSH8cVdatc': 'Meek Mill'}	55	True	Solo
7cW1wHpSLYgKWzoWlOCPFJ	Global	('Global', 'Lil Baby')	{'5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}	60	True	Solo
52i143Ph5c3RQaQFBXWix1	Word On The Street	('Word On The Street', 'Lil Baby')	{'5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}	58	True	Solo
2G7V7zsVDxg1yRsu7Ew9RJ	In My Feelings	('In My Feelings', 'Drake')	{'3TVXtAsR1Inumwj472S9r4': 'Drake'}	82	True	Solo
2Kpc6hdJqHCG2tt0JW9pyl	Lose It	('Lose It', 'Kane Brown')	{'3oSJ7TBVCWMDMiYjXNiCKE': 'Kane Brown'}	70	False	Solo
42fw0rxRO2xbesF6mJfd4Y	Tequila	('Tequila', 'Dan + Shay')	{'7z5WFjZAIYejWy0NI5lv4T': 'Dan + Shay'}	73	False	Solo
0TlLq3lA83rQOYtrqBqSct	Nonstop	('Nonstop', 'Drake')	{'3TVXtAsR1Inumwj472S9r4': 'Drake'}	81	True	Solo
0At2qAoaVjIwWNAqrscXli	Boo'd Up	("Boo'd Up", 'Ella Mai')	{'7HkdQ0gt53LP4zmHsL0nap': 'Ella Mai'}	74	False	Solo
5aXgz1oKK8Q9z9xvTmSnrO	Topanga	('Topanga', 'Trippie Redd')	{'6Xgp2XMz1fhVYe7i6yNAax': 'Trippie Redd'}	75	True	Solo
7wC5eZcFS1Q1BsQ35DU6H4	come out and play	('Come Out And Play', 'Billie Eilish')	{'6qqNVTkY8uBg9cP3Jd7DAH': 'Billie Eilish'}	75	False	Solo
04ZTP5KsCypmtCmQg5tH9R	I'm a Mess	("I'm A Mess", 'Bebe Rexha')	{'64M6ah0SkkRsnPGtGiRAbb': 'Bebe Rexha'}	80	False	Solo
6CyJlVAEFlNdpggOLanytL	Hangin' On	("Hangin' On", 'Chris Young')	{'4BYxqVkZyFjtik7crYLg5Q': 'Chris Young'}	66	False	Solo
4H0vNUFcHPz5lytcLjwqkr	Rich	('Rich', 'Maren Morris')	{'6WY7D3jk8zTrHtmkqqo5GI': 'Maren Morris'}	61	False	Solo
2oPCR02nduYVpj7CTfsA0d	Blue Tacoma	('Blue Tacoma', 'Russell Dickerson')	{'1E2AEtxaFaJtH0lO7kgNKw': 'Russell Dickerson'}	72	False	Solo
7hDVYcQq6MxkdJGweuCtl9	ocean eyes	('Ocean Eyes', 'Billie Eilish')	{'6qqNVTkY8uBg9cP3Jd7DAH': 'Billie Eilish'}	82	False	Solo
7zLYKWcXnYeHHWidalz7rj	Noticed	('Noticed', 'Lil Mosey')	{'5zctI4wO9XSKS8XwcnqEHk': 'Lil Mosey'}	80	True	Solo
1wjzFQodRWrPcQ0AnYnvQ9	I Like Me Better	('I Like Me Better', 'Lauv')	{'5JZ7CnR6gTvEMKX4g70Amv': 'Lauv'}	82	False	Solo
3ee8Jmje8o58CHK66QrVC2	SAD!	('Sad!', 'XXXTENTACION')	{'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}	84	True	Solo
3z8h0TU7ReDPLIbEnYhWZb	Bohemian Rhapsody	('Bohemian Rhapsody', 'Queen')	{'1dfeR4HaWDbWqFHLkxsg1d': 'Queen'}	72	False	Solo
1XJBDDpeuZaj5fvmwhdIMw	Take One	('Take One', 'Kodak Black')	{'46SHBwWsqBkxI7EeeBEQG7': 'Kodak Black'}	58	True	Solo
2VX37A1p7tkvrH2UJwAU0T	Desperate Man	('Desperate Man', 'Eric Church')	{'2IvkS5MXK0vPGnwyJsrEyV': 'Eric Church'}	57	False	Solo
4u8Gkqyg87iGSW3hQbbnQZ	Burn the House Down	('Burn The House Down', 'AJR')	{'6s22t5Y3prQHyaHWUN1R1C': 'AJR'}	63	True	Solo
0AcicReEGm1qcENjqzh1Tg	Love Scars 3	('Love Scars 3', 'Trippie Redd')	{'6Xgp2XMz1fhVYe7i6yNAax': 'Trippie Redd'}	70	True	Solo
2RSHsoi04658QL5xgQVov3	Bad Liar	('Bad Liar', 'Imagine Dragons')	{'53XhwfbYqKCa1cC15pYq2q': 'Imagine Dragons'}	82	False	Solo
2rbDhOo9Fh61Bbu23T2qCk	Always Remember Us This Way	('Always Remember Us This Way', 'Lady Gaga')	{'1HY2Jd0NmPuamShAr6KMms': 'Lady Gaga'}	79	False	Solo
1SxagO9GK0UUeEYLmH8Pln	Toxic Waste	('Toxic Waste', 'Trippie Redd')	{'6Xgp2XMz1fhVYe7i6yNAax': 'Trippie Redd'}	63	True	Solo
0OgGn1ofaj55l2PcihQQGV	Drew Barrymore	('Drew Barrymore', 'Bryce Vine')	{'1ShZZUjkbXCjhwrb18BA8I': 'Bryce Vine'}	73	True	Solo
514rhnksEwHUh6LxXsQ4Y9	Back To You	('Back To You', 'Selena Gomez')	{'0C8ZW7ezQVs4URX5aX7Kqx': 'Selena Gomez'}	73	False	Solo
6NFyWDv5CjfwuzoCkw47Xf	Delicate	('Delicate', 'Taylor Swift')	{'06HL4z0CvFAxyc27GXpf02': 'Taylor Swift'}	74	False	Solo
1fvCggAYrW0VtCljtqv4h2	Last Memory	('Last Memory', 'TakeOff')	{'3EW0kQ1skZiK1NHg3Spt9J': 'Takeoff'}	61	True	Solo
33471tzU1VghDg9zNgGRpz	Hotel Key	('Hotel Key', 'Old Dominion')	{'6y8XlgIV8BLlIg1tT1R10i': 'Old Dominion'}	68	False	Solo
1jo3TwNGCXfNdB5uba3ZVv	Killshot	('Killshot', 'Eminem')	{'7dGJo4pcD2V6oG8kP0tJRR': 'Eminem'}	76	True	Solo
1B4gJRq61xTs6r1O0Uq2iY	Casper	('Casper', 'TakeOff')	{'3EW0kQ1skZiK1NHg3Spt9J': 'Takeoff'}	71	True	Solo
7azo4rpSUh8nXgtonC6Pkq	Thriller	('Thriller', 'Michael Jackson')	{'3fMbdgg4jU18AjLCKBhRSm': 'Michael Jackson'}	66	False	Solo
09IStsImFySgyp0pIQdqAc	The Middle	('The Middle', 'Zedd, Maren Morris & Grey')	{'6WY7D3jk8zTrHtmkqqo5GI': 'Maren Morris', '4lDBihdpMlOalxy1jkUbPl': 'Grey', '2qxJFvFYMEDqd7ui6kSAcq': 'Zedd'}	83	False	Collaboration
1kFBLqkTuNKlspkJ1EOGjN	Drunk Girl	('Drunk Girl', 'Chris Janson')	{'60gmlHZmT16wiO9GiXKYK9': 'Chris Janson'}	65	False	Solo
0oagwWkGlBoACUuKvTmqZV	A Million Dreams	('A Million Dreams', 'P!nk')	{'1KCSPY1glIKqW2TotWuXOR': 'P!nk'}	68	False	Solo
0Fpen1PTuEnCmOJtUU9Iud	New Patek	('New Patek', 'Lil Uzi Vert')	{'4O15NlyKLIASxsJ0PrXPfz': 'Lil Uzi Vert'}	73	True	Solo
7uVkYr8gxcPEgqohvynpdN	Break Up in the End	('Break Up In The End', 'Cole Swindell')	{'1mfDfLsMxYcOOZkzBxvSVW': 'Cole Swindell'}	51	False	Solo
3to5UxKsozb4T6CfwHuhLJ	Kamikaze	('Kamikaze', 'Lil Mosey')	{'5zctI4wO9XSKS8XwcnqEHk': 'Lil Mosey'}	75	True	Solo
2qT1uLXPVPzGgFOx4jtEuo	no tears left to cry	('No Tears Left To Cry', 'Ariana Grande')	{'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'}	82	False	Solo
2vs5ubqg8QUbfyWZpMfvWe	Astronauts	('Astronauts', 'Future & Juice WRLD')	{'1RyvyyTE3xzB2ZywiAwp0i': 'Future', '4MCBfE4596Uoi2O4DtmEMz': 'Juice WRLD'}	61	True	Collaboration
7stcuQtnHL7C6XdPvpwywv	Vertigo	('Vertigo', 'Khalid')	{'6LuN9FCkKOj5PcnpouEgny': 'Khalid'}	67	False	Solo
2EhJijFUs0WUmNClDBpYJq	Make It Back	('Make It Back', 'Juice WRLD')	{'4MCBfE4596Uoi2O4DtmEMz': 'Juice WRLD'}	62	True	Solo
7jr3iPu4O4bTCVwLMbdU2i	Kiss and Make Up	('Kiss And Make Up', 'Dua Lipa & BLACKPINK')	{'41MozSoPIsD1dJM0CLPjZF': 'BLACKPINK', '6M2wZ9GZgrQXHCFfjv46we': 'Dua Lipa'}	79	False	Collaboration
3ZPKocroJIcnHGcnJVlLKD	Africa	('Africa', 'Weezer')	{'3jOstUTkEu2JkjvRdBA5Gu': 'Weezer'}	64	False	Solo
3lFf4DnT68QjQGB3iq1BJ9	Meant To Be	('Meant To Be', 'Bebe Rexha & Florida Georgia Line')	{'2Z88fKsL22PDUEVWwAR1RT': '2017 Dynamo Hitz'}	5	False	Solo
4L9Ds4mpD3SuYoWwFUlv16	Simple	('Simple', 'Florida Georgia Line')	{'3b8QkneNDz4JHKKKlLgYZg': 'Florida Georgia Line'}	76	False	Solo
4lFfMRH0YH4pW5gczTDbNC	Medicine	('Medicine', 'Queen Naija')	{'3nViOFa3kZW8OMSNOzwr98': 'Queen Naija'}	69	False	Solo
6Q36XucqrejMId3RydVhch	BIGGEST ALLEY OOP	('Biggest Alley Oop', 'Quavo')	{'0VRj0yCOv2FXJNP47XQnx5': 'Quavo'}	60	True	Solo
7pVzUPjJ83QojsVcOthmxP	HUNCHO DREAMS	('Huncho Dreams', 'Quavo')	{'0VRj0yCOv2FXJNP47XQnx5': 'Quavo'}	51	True	Solo
53yTYusPQJ1AApL1hi0Dnc	Sunrise, Sunburn, Sunset	('Sunrise, Sunburn, Sunset', 'Luke Bryan')	{'0BvkDsjIUla7X0k6CSWh1I': 'Luke Bryan'}	68	False	Solo
7HdNB8nvJOBwHa8hIkzvxp	If I'm Lyin, I'm Flyin	("If I'm Lyin, I'm Flyin", 'Kodak Black')	{'46SHBwWsqBkxI7EeeBEQG7': 'Kodak Black'}	63	True	Solo
378u8gf9qpJ4ZhxHEvrodl	Is That Alright?	('Is That Alright?', 'Lady Gaga')	{'1HY2Jd0NmPuamShAr6KMms': 'Lady Gaga'}	62	False	Solo
0Y7di9ZCmB6Elad5WISaPc	Dedicate	('Dedicate', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	62	True	Solo
1E1uGhNdBe6Dddbgs2KqtZ	Jumpsuit	('Jumpsuit', 'twenty one pilots')	{'3YQKmKGau1PzlVlkL1iodx': 'Twenty One Pilots'}	73	False	Solo
5HeKOKc4phmLn8e4I7EkzD	My Blood	('My Blood', 'twenty one pilots')	{'3YQKmKGau1PzlVlkL1iodx': 'Twenty One Pilots'}	73	False	Solo
6qNALlmZa1ESnCxJmXE1K9	The Way I Am	('The Way I Am', 'Charlie Puth')	{'6VuMaDnrHyPL1p4EHjYLi7': 'Charlie Puth'}	70	False	Solo
5cGpjfgAvidLy6znwkCxkP	Can't Be Broken	("Can't Be Broken", 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	62	True	Solo
4z2XPrpHz1raJibarWFY7Z	Maybe It's Time	("Maybe It's Time", 'Bradley Cooper')	{'4VIvfOurcf0vuLRxLkGnIG': 'Bradley Cooper'}	64	False	Solo
5SehvGGC53A7SZKCLXQcyt	Nico And The Niners	('Nico And The Niners', 'twenty one pilots')	{'3YQKmKGau1PzlVlkL1iodx': 'Twenty One Pilots'}	72	False	Solo
2DnH4XlEkghUdE8ymdVom5	Open Letter	('Open Letter', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	56	True	Solo
0ubdf6zWT1It2saK41SkO0	Problems	('Problems', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	54	True	Solo
5s6pKnF3ZPtuqvEx1i1V7U	Hittas	('Hittas', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	54	True	Solo
7EgI0dCaQuHFe3OTj5EpWI	Open Safe	('Open Safe', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	56	True	Solo
1Dk3CfJEtqvj7Xg2AWwfEn	Took His Time	('Took His Time', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	56	True	Solo
6y4pOReFqH2wzo4CV91cZC	Mess	('Mess', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	57	True	Solo
3BUWNzPWz2mDbptZmGEXpB	Let It All Work Out	('Let It All Work Out', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	61	True	Solo
68lOQPb5tX8U2cQRuas0L2	Used 2	('Used 2', 'Lil Wayne')	{'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}	57	True	Solo
